fr,de,ru,en,zh,es,ja,ko,et,fi,nl,hi,word_original,it
"['forêt', 'bois', 'brousse', 'Wälder', 'aubier']","['Busch', 'Wald', 'Forst', 'Wälder', 'Holz', 'Splintholz']","['лес', 'дерево', 'оболонь', 'древеси́на', 'древесина', 'лесоматериа́л', 'де́рево']","['wood', 'forrest', 'forest', 'woods', 'Wälder', 'sap-wood', 'sapwood', 'alburnum']","['林木', '树林', '樹林', '森林', '木头', '木', '木材', '木料', '木頭']","['bosque', 'Wälder', 'bosques', 'selva', 'floresta', 'albura', 'sámago', 'madera']","['森林', '森', '木材', '木']","['숲', '삼림', '나무', '목재']","['laas', 'mets', 'Wälder', 'puit', 'puu']","['metsä', 'Wälder', 'puu', 'puumaila', 'pintapuu', 'puuaines']","['bos', 'woud', 'Wälder', 'bosje', 'foreest', 'hout', 'spinthout', 'houtsoort']","['जंगल', 'वन', 'लक्डी', 'लकड़ी', 'काठ', 'काष्ठ']",wood,"['foresta', 'bosco', 'Wälder', 'selva', 'bosco misto', 'legno', 'alburno', 'legname']"
['hameau'],"['Dorf', 'Ortschaft', 'Weiler', 'Dörfchen']","['село', 'деревня', 'слобода́', 'село́', 'кишла́к', 'ау́л', 'стани́ца', 'селе́ние', 'весца́', 'ху́тор', 'дере́вня', 'вёска', 'весь', 'ве́слина']","['village', 'hamlet']","['村', '乡庄', '鄉村', '村莊', '村落', '农村', '乡村', '屯落', '農村', '村庄', '村子', '鄉莊']","['caserío', 'pueblo', 'aldea', 'aldehuela']","['村', '村落', '田舎']","['마을', '촌락']",['küla'],"['kylä', 'pieni kylä']","['dorp', 'gehucht', 'gat', 'buurt', 'buurtschap', 'vlek']","['गाँव', 'गांव']",village,"['paesello', 'borgo', 'paesino', 'frazione', 'villaggio', 'paese', 'borgata', 'casale', 'vico']"
"['forêt', 'bois', 'brousse', 'Wälder']","['Busch', 'Wald', 'Forst', 'Wälder', 'Holz']",['лес'],"['forest', 'forrest', 'wood', 'woods', 'Wälder']","['林木', '树林', '樹林', '森林']","['bosque', 'Wälder', 'bosques', 'selva', 'floresta']","['森林', '森']","['숲', '삼림']","['laas', 'mets', 'Wälder']","['metsä', 'Wälder', 'puu', 'puumaila']","['bos', 'woud', 'Wälder', 'bosje', 'foreest']","['जंगल', 'वन']",forest,"['foresta', 'bosco', 'Wälder', 'selva', 'bosco misto']"
['fruit charnu'],"['Frucht', 'Saftfrucht']","['фрукт', 'плод', 'мягкотелый плод']","['fruit', 'fleshy fruit']","['水果', '果实', '果子']","['fruta', 'fruto']","['実', '果実', '液果']",['열매'],"['vili', 'puuvili']",['hedelmä'],"['vrucht', 'ooft', 'vlezig fruit', 'zaadbol']",['फल'],fruit,"['frutto', 'frutta carnosa', 'frutta']"
['chanson'],['Lied'],['песня'],"['song', 'vocal']","['歌', '歌曲']","['canción', 'vocal']","['歌曲', '歌']",['노래'],['laul'],"['laulu', 'sävelmä', 'lauluosuus']","['lied', 'zang', 'liedje', 'een appel en een ei', 'nummer']",['गीत'],song,"['canzone', 'canzonetta', 'canto']"
"['eau', 'eaux', ""étendue d'eau"", 'glace']","['Wasser', 'Gewässer', 'Eis']","['вода', 'воды', 'во́дное простра́нство', 'водоём', 'водный объект', 'лед', 'лёд']","['water', 'body of water', 'waterbody', 'ice', 'water ice']","['水', '水體', '水体', '冰', '冰块']","['agua', 'cuerpo de agua', 'extensión de agua', 'masa de agua', 'hielo']","['水', '水域', '氷']","['물', '수역', '얼음']","['vesi', 'veekogu', 'jää']","['vesi', 'vedet', 'vesimuodostuma', 'vesialue', 'jää', 'jäätynyt vesi']","['zoetwater', 'majem', 'wateren', 'waterlichaam', 'ijs', 'roomijs', 'waterijs']","['जल', 'पानी', 'जल निकाय', 'बरफ़', 'बर्फ़', 'यख़']",water,"['acqua', 'acque', ""corpo d'acqua"", ""bacino d'acqua"", ""massa d'acqua"", ""specchio d'acqua"", 'ghiaccio']"
"['rivière', 'fleuve', 'courant', ""cours d'eau"", 'ruisseau', 'rupt', ""courant d'eau"", 'ru']","['Fluß', 'Fluss', 'Bach', 'Wasserlauf', 'Fließgewässer']","['река', 'водный путь', 'ручей', 'поток', 'ре́чка', 'водоток', 'пото́к', 'речу́шка', 'руче́й', 'система озёр']","['river', 'stream', 'watercourse', 'brook', 'lake system']","['河', '水流', '河流', '川', '江', '水道', '小河', '溪', '流水']","['río', 'ríos', 'arroyo', 'corriente', 'curso de agua', 'flujo']","['川', '流れ', '小川', '渓流', '水路']","['강', '시내', '물길', '내', '개울']","['jõgi', 'vooluveekogu', 'oja', 'Oja']","['joki', 'vesitie', 'vesistö', 'puro', 'väylä', 'vesireitti', 'noro', 'oja', 'virtavesi', 'virta']","['rivier', 'stroom', 'waterloop', 'beek', 'merensysteem', 'watergang']","['नदी', 'दरिया', 'रूद', 'जलस्रोत']",river,"['fiume', ""corso d'acqua"", 'corrente', 'ruscello', 'rivo', 'torrente']"
"['loi', 'droit', 'police', 'gendarmerie', 'forces de l’ordre']","['Recht', 'Gesetz', 'Polizei', 'Polizeitruppe', 'Polizeiapparat', 'Polizeikräfte']","['право', 'пра́вило', 'пра́во', 'зако́н', 'закон', 'полиция', 'полицейские силы']","['law', 'jurisprudence', 'police', 'police force', 'constabulary', 'Constabulary']","['法律系统', '法律', '公安', '警方', '警察', '警', '警队', '警隊', '警察機構']","['derecho', 'ley', 'Derecho', 'jurisprudencia', 'policía', 'cuerpo de policía', 'Constabularía', 'fuerzas policiales', 'fuerzas de orden público', 'fuerzas de seguridad', 'fuerzas del orden', 'fuerza pública', 'guardia', 'agentes', 'policia']","['法', '警察']","['법', '경찰']","['õigus', 'seadus', 'politsei', 'Politsei']","['laki', 'juridiikka', 'poliisi', 'poliisivoimat']","['wet', 'recht', 'politie', 'politiemacht', 'prinsemarij', 'politieapparaat', 'kit', 'politie-apparaat', 'hermandad']","['नियम', 'विधि', 'क़ानून', 'पुलिस']",law,"['diritto', 'legge', 'giurisprudenza', 'legislazione', 'corpo legislativo', 'polizia', 'questura', ""forze dell'ordine"", 'madama', 'forza pubblica']"
"['vague', 'onde']","['Meereswelle', 'Welle', 'Wasserwelle']","['морская волна', 'ветровые волны']","['wave', 'sea wave', 'ocean surface wave', 'moving ridge', 'wind wave']","['海浪', '波濤', '波', '波浪']","['ola', 'ola marina', 'onda']",['波'],['파도'],"['merelaine', 'Veelained', 'veelained']",['aalto'],"['zeegolven', 'vloeistofoppervlaktegolf', 'oppervlaktegolf', 'golf']",['महासागरीय तरंगे'],wave,"['onda marina', 'onda del mare', 'onda', 'flutto']"
"['milieu marin', 'océan']","['Meeresumwelt', 'Ozean']","['морская окружающая среда', 'океан']","['ocean', 'sea', 'body of water', 'bounding main', 'marine environment']","['海洋', '洋', '大洋']","['océano', 'ambiente marino', 'mar']","['大洋', '海洋']",['대양'],"['ookean', 'merekeskkond']","['valtameri', 'meriympäristö']","['mariene milieu', 'oceaan', 'plas', 'wereldzee']",['महासागर'],ocean,"['ambiente marino', 'oceano']"
"['grotte', 'caverne']",['Höhle'],['пещера'],['cave'],"['洞穴', '洞窟', '石窟', '洞']","['caverna', 'cueva', 'gruta']",['洞窟'],['동굴'],['koobas'],"['luola', 'luolasto']","['hol', 'grot']",['गुफ़ा'],cave,"['caverna', 'grotta', 'antro']"
"['mer', 'milieu marin', 'océan']","['Meer', 'Meeresumwelt', 'Ozean']","['Мировой океан', 'море', 'морская окружающая среда', 'океан']","['sea', 'body of water', 'bounding main', 'ocean', 'marine environment']","['海', '世界洋', '海洋', '洋', '大洋']","['mar', 'océano mundial', 'océano', 'mares', 'ambiente marino']","['海', '世界の大洋', '大洋', '海洋']","['바다', '대양']","['Maailmameri', 'meri', 'ookean', 'merekeskkond']","['meri', 'valtameri', 'meriympäristö']","['zee', 'mariene milieu', 'oceaan', 'plas', 'wereldzee']","['सागर', 'महासागर']",sea,"['mare', 'acque', 'ambiente marino', 'oceano']"
['lac'],['See'],['озеро'],['lake'],"['湖', '湖泊']","['lago', 'lagos', 'estanque']",['湖'],['호수'],['järv'],['järvi'],['meer'],['झील'],lake,['lago']
"['flamme', 'feu', 'incendie']","['Flamme', 'Feuergarbe', 'Lohe', 'Feuer', 'Feuerzunge', 'Brand']","['огонь', 'пламя', 'по́лы́мя', 'пла́мень', 'пла́мя', 'Пламя', 'пожар']","['fire', 'flame', 'flaming']","['火', '火焰', '焚烧', '燃烧', '火舌', '焰', '火灾', '火災']","['fuego', 'llama', 'flama', 'lumbre', 'incendio']","['炎', '火', '火炎', '火災', '火事']","['불', '화염', '불꽃', '불길', '큰불', '화재']","['põleng', 'leek', 'Tuli', 'tuli', 'Leek']","['tuli', 'liekki', 'palo', 'tulipalo']","['vuur', 'fik', 'vlam', 'laai', 'brand', 'ontbranding']","['अग्नि', 'आग', 'आतिश', 'ज्वाला', 'शोला', 'लौ', 'लपट']",fire,"['fuoco', 'fiamma', 'incendio', 'rogo']"
"['point final', 'Points', 'points', 'nombre de points', 'score', 'entrée']","['Punkt', 'Scorerpunkt', 'Spielergebnis', 'Spielstand', 'Stichwort']","['точка', 'знак препина́ния', 'то́чка', 'очко́', 'счёт', 'результа́т', 'очко', 'очки', 'Очки', 'балл']","['point', 'period', 'full stop', 'dot', 'stop', 'full point', 'score', 'item']","['丶部', '丶', '句号', '句點', '。', '句点', '句號', '得分', '分', '比分']","['punto', 'punto final', 'puntaje', 'puntuación', 'tantos', 'ítem', 'entrada']","['ポイント', '終止符', '句点', '点', 'ピリオド', '。', '得点', 'スコア']","['마침표', '포인트', '득점']","['punkt', 'skoor, punktiseis']","['piste', 'Piste', 'tehopiste', 'pistemäärä', 'Tehopiste', 'kohta']","['punt', 'puntkomma', 'dubbele punt', 'komma', 'oord', 'plaats', 'stand', 'doelpunt', 'locatie', 'winstpunt', 'tijdpunt', 'plek', 'exemplaar', 'artikel', 'object']","['दंड', 'पूर्ण विराम', '।', 'बिंदु']",point,"['punto', 'punto fermo', 'stop', 'punteggio', 'voce', 'elemento']"
"['rendu', 'rendu graphique', 'traduction', 'interprétation']","['Rendern', 'Bildsynthese', 'Übersetzung', 'Kompilieren']",['перевод'],"['version', 'translation', 'compilation', 'interlingual rendition', 'rendering', 'translated work', 'interpretation', 'reading']","['翻譯', '翻译']","['renderización', 'traducción', 'confección', 'renderizado', 'compilación', 'interpretación']","['翻訳', '翻訳作品']","['번역', '번역물']","['tõlkimine', 'tõlge']","['käännös', 'kääntäminen', 'näkemys', 'sovitus', 'tulkinta']","['afbeelding', 'vertaling', 'weergave', 'vertalen', 'interpretatie']","['अनुवाद', 'रेंडर']",version,"['resa grafica', 'rendering', 'traduzione', 'compilazione', 'versione', 'interpretazione']"
"['baseball', 'ballon', 'balle', 'ballon de football', 'sphère', 'boule', 'projectile', 'bal', 'orbe', 'football', 'pelote', 'soccer', 'foot', 'globe']","['Baseball', 'Fußball', 'Kugel', 'Geschoss', 'Flugkörper', 'Projektil', 'Tanzball', 'Gestirn', 'Knäuel']","['бейсбол', 'мяч', 'футбольный мяч', 'шар', 'сфе́ра', 'сфера', 'пуля', 'пу́ля', 'снаря́д', 'бал', 'ногомя́ч', 'клубо́к', 'футбо́л']","['ball', 'baseball', 'baseball game', 'association football ball', 'sphere', 'globe', 'orb', 'bullet', 'slug', 'Slug', 'formal', 'Football', 'football']","['棒球', '棒球比赛', '球', '足球比赛用球', '球體', '球面', '球体', '球形', '枪弹', '子弹', '彈丸', '子彈', '枪子儿', '槍子兒', '槍子', '枪子', '舞会', '足球', '蹴球', '天体', '毛球', '球状物']","['béisbol', 'beisbol', 'baseball', 'pelota', 'bola', 'balón', 'pelota de fútbol', 'balón de fútbol', 'esfera', 'bala', 'proyectil', 'ojiva', 'baile', 'balón de fútbol americano', 'orbe', 'balompié', 'futbol', 'pambol', 'fútbol', 'balón-pie']","['野球', 'ボール', 'サッカーボール', '球', '球面', '球体', '弾丸', '銃弾', '弾', '舞踏会', '蹴球', 'サッカー', 'フットボール', '玉']","['야구', '공', '축구공', '구', '구체', '탄알', '총알', '무도회', '천체', '풋볼', '축구']","['pesapall', 'pall', 'kera', 'sfäär', 'Kuul', 'kuul', 'jalgpall']","['baseball', 'baseball-peli', 'pallo', 'jalkapallo', 'kehrä', 'ammus', 'luoti', 'kuula', 'tanssiaiset', 'Tanssiaiset', 'kerä', 'lankakerä', 'pyöreä kappale']","['honkbal', 'bal', 'voetbal', 'bol', 'kogel', 'geweerkogel', 'bolleke', 'bolletje', 'kluwen', 'wereldbol']","['बेसबॉल', 'गेंद', 'गोला', 'गोली', 'फुटबॉल', 'फ़ुटबॉल', 'फ़ुटबाल', 'फुटबाल']",ball,"['baseball', 'pallabase', 'partita di baseball', 'palla base', 'pallone', 'palla', 'pallone da calcio', 'sfera', 'pallottola', 'proiettile', 'ballo', 'veglione', 'palla da rugby', 'palla ovale', 'gomitolo', 'calcio', 'orbe', 'globo']"
"['peinture', 'artiste peintre', 'peintre', 'image', 'tableau']","['Abbild', 'Maler', 'Darstellung', 'Gemälde', 'Malerei']","['картина', 'образ', 'живопись', 'жи́вопись']","['painting', 'image', 'picture', 'artist', 'painter', 'art of painting']","['绘画', '畫作', '油漆', '繪畫', '画儿', '图画', '画']","['pintora', 'imagen', 'pintor', 'pintura', 'pintado', 'lienzo', 'cuadro', 'pintada']","['絵画', '画像', '画', 'タブロー', '絵画作品']",['회화'],"['maal', 'maalimine', 'maalikunst']","['kuva', 'maalaustaide', 'maalaus', 'maalaaminen']","['schilder', 'verven', 'plaatje', 'schilderen', 'kunstschilder', 'afbeelding', 'schilderkunst', 'geschilder', 'schilderij', 'schilderstuk', 'schilderwerk', 'doek']",['चित्रकला'],painting,"['pittura', 'pittore', 'raffigurazione', 'immagine', 'dipinto', 'verniciatura', 'quadro']"
"['riziculteur', 'riz', 'riz paddy']",['Reis'],['рис'],"['rice', 'rice farmer', 'rice grower', 'Rice gadu']","['稻米', '米', '稻', '稻子']",['arroz'],"['米', '稲']","['쌀', '벼']",['riis'],"['riisi', 'riisikasvi']","['rijst', 'rijstboer', 'Aziatische rijst']","['चावल', 'तंडुल', 'धान', 'भात']",rice,"['riso', 'risicoltore', 'risicultore']"
['rouge'],['Rot'],"['красный', 'красный цвет', 'кра́сный']","['red', 'redness']","['红色', '紅色']","['rojo', 'roja', 'rojez']",['赤'],"['빨강', '빨간색']",['punane'],"['punainen', 'punaisuus']","['rood', 'keel']",['लाल'],red,['rosso']
