fr,de,ru,en,zh,es,ja,ko,et,fi,nl,hi,it,word_original
"['lit', 'couche']",['Bett'],"['кровать', 'постель', 'ко́йка', 'посте́ль', 'крова́ть']",['bed'],"['床', '睡铺', '卧榻', '床鋪', '臥榻', '睡鋪', '床铺']","['cama', 'piltra', 'catre', 'sobre', 'lecho']","['布団', 'ベッド', '臥榻', '寝床', '寝台']","['침대', '잠자리']",['voodi'],"['vuode', 'sänky', 'peti']","['legerstede', 'sponde', 'bedstede', 'ledikant', 'nest']","['बिस्तर', 'पलंग', 'बिछोना', 'बिछौना', 'शय्या']","['letto', 'giaciglio']",bed
['abeille'],"['Imme', 'Biene', 'Bienen', 'Beivogl']","['пчела', 'пчела́', 'пчёлы']","['bee', 'Anthophila']","['蜂', '蜜蜂', '蜂族', '花蜂類', '蜡蜂', '蠟蜂']","['abeja', 'Anthophila', 'anthophila']","['ハチ', '蜂', 'ハナバチ', '花蜂']","['벌', '꿀벌류', '밀봉']","['mesilane', 'Mesilased']","['mehiläiset', 'Mehiläinen', 'mehiläinen', 'mesipistiäiset']","['bij', 'honingbij', 'imme', 'bijen']",['मधुमक्खी'],"['ape', 'Anthophila', 'pecchia']",bee
"['cloche', 'sonnette']","['Glocke', 'Klingel', 'Türglocke', 'Türklingel', 'Hausglocke']","['колокол', 'Дверной звонок', 'звоно́к', 'дверно́й звоно́к', 'дверной звонок']","['bell', 'buzzer', 'doorbell']","['鐘', '门铃', '門鈴', '电铃', '電鈴', '钟']","['campana', 'timbre', 'campanilla de puerta']","['鐘', '呼び鈴', 'ドアベル', '電鈴', 'ドアチャイム', 'ベル', '鈴']","['종', '전령', '초인종', '도어폰', '벨']","['kell', 'uksekell']","['kello', 'ovikello', 'Ovikello', 'ovisummeri', 'kulkunen']","['klok', 'deurbel', 'bel', 'zoemer', 'huisbel', 'klingel', 'schel', 'door Bell', 'ding-dong']","['घंटी', 'द्वारघण्टी', 'दर्वाज़ी की घंटी', 'दरवाज़े की घंटी']","['campana', 'campanello', 'soneria']",bell
['oiseau'],"['Vögelchen', 'Vogel', 'Piepmatz', 'Vögel']","['птица', 'птицы']","['bird', 'Eu-']","['鳥', '飛鳥', '飛烏', '鸟', '飞鸟', '鸟儿', '鳥兒', '鸟纲', '禽', '雀', '鸟类']","['pájaro', 'ave', 'aves']","['鳥', 'とり', '鳥類', 'Aves']","['새', 'Aves']","['lind', 'linnud']","['linnut', 'lintu']","['vogel', 'vogels', 'Eu-', 'vogeltje']","['चिड़िया', 'पक्षी', 'Aves']","['uccello', 'Aves', 'volatile', 'volativo', 'volatio', 'pennuto', 'augello']",bird
"['épée', 'glaive', 'lame']",['Schwert'],"['меч', 'шпа́га', 'са́бля']","['sword', 'brand', 'steel', 'blade']","['劍', '剑', '刀']","['espada', 'garrancha']","['刀', '剣']","['도검', '칼', '검']",['mõõk'],"['miekka', 'kalpa']","['zwaard', 'degen']","['तलवार', 'शमशेर']","['spada', 'gladio', 'brando', 'stocco', 'durindana', 'durlindana', 'lama', 'ferro', 'acciaro']",blade
"['comité', 'commission']","['Komitee', 'Kommission', 'Ausschuss', 'Ausschuß']","['комитет', 'комите́т', 'коми́ссия', 'комиссия']","['committee', 'commission']","['调查团', '委员会', '考察团', '委員會']","['comité', 'comisión']","['委員会', 'コミッション']",['위원회'],"['komitee', 'komisjon']","['komitea', 'valiokunta', 'toimikunta', 'lautakunta']","['comité', 'commissie', 'kamer', 'cie', 'college']","['कमेटी', 'समिति']","['commissione', 'comitato']",board
"['bateau', 'nacelle', 'barque', 'canot']","['Boot', 'Schiff']","['ладья́', 'лодка', 'бот', 'ло́дка', 'чёлн', 'шлю́пка']",['boat'],"['无篷小船', '舟', '船', '小船', '艇']","['bote', 'barco', 'barca', 'barcos', 'nave', 'embarcación']","['舟', 'ボート']","['보트', '배']",['paat'],['vene'],"['boot', 'schip']","['बेड़ी', 'नौका', 'बेड़ा', 'डोँगा', 'नाव', 'डोँगी', 'कश्ती']","['imbarcazione', 'nave', 'barca', 'scialuppa', 'lancia', 'schifo', 'battello', 'natante']",boat
['os'],"['Bein', 'Knochengewebe', 'Knochen', 'Gebeine']",['кость'],"['bone', 'os']","['骨头', '骨頭', '骨', '骨骼', '骨质', '骨質', '骨架']","['hueso', 'os']",['骨'],['뼈'],"['kont', 'luu']","['luu', 'os']","['knok', 'been', 'bot', 'knook', 'beenweefsel', 'botje', 'graat']","['हड्डी', 'अस्थि']",['osso'],bone
['livre'],['Buch'],['книга'],['book'],"['書', '书籍', '書籍', '书', '圖書', '图书']",['libro'],['本'],['책'],['raamat'],['kirja'],"['boek', 'boeken', 'album', 'boekwerk', 'boekje']","['किताब', 'पुस्तक']",['libro'],book
"['bottine', 'botte', 'soulier', 'chaussure', 'coup de pied', 'botter']","['Stiefel', 'Tritttechnik']","['сапоги', 'Сапоги', 'пино́к', 'удар ногой']","['boot', 'kicking', 'kick']","['靴', '皮靴', '靴子', '长靴', '脚法']","['bota', 'patada', 'coz', 'puntapié']","['長靴', 'ブーツ', '蹴り技']","['부츠', '차기', '발차기']","['Saabas', 'saabas']","['Saapas', 'saapas', 'varsikenkä', 'potku', 'potkiminen']","['laars', 'bot', 'laarsje', 'schop', 'trap', 'schoppen', 'stamp']",['लात'],"['stivale', 'scarpone', 'pedata', 'calcio', 'piedata', 'colpo di piede', 'scalciata']",boot
['bouteille'],"['Bouteille', 'Flasche']","['буты́лка', 'бутылка']",['bottle'],"['瓶', '瓶子']","['botella', 'frasco']",['瓶'],['병'],['pudel'],['pullo'],['fles'],"['बोतल', 'शीशा', 'शीशी']",['bottiglia'],bottle
"['caisse', 'boîte']","['Kasten', 'Kiste']",['коробка'],"['boxes', 'box']","['盒', '盒子', '箱', '箱子']","['cajas', 'caja']",['箱'],['상자'],['Kast'],"['laatikko', 'rasia', 'aski']","['dozen', 'doos', 'bak']",['m'],"['scatola', 'cassetta', 'astuccio', 'cassa']",box
"['héroïne', 'diacétylmorphine', 'garçon', 'fils']","['Heroin', 'Jüngling', 'Knabe', 'Bub', 'Bursche', 'Junge']","['героин', 'герои́н', 'мальчик']","['boy', 'heroin', 'diacetylmorphine', 'male child', 'son']","['海洛因', '二乙酰吗啡', '白面', '白粉', '白麵', '白面儿', '白麵兒', '男孩', '男子', '男孩子', '少年']","['heroína', 'jaco', 'heroina', 'caballo', 'niño', 'chico', 'jovencito', 'joven', 'muchacho', 'niño varón', 'garzón', 'chaval', 'mozo', 'hijo']","['ヘロイン', '男の子', '少年']","['헤로인', '소년']","['heroiin', 'Heroiin', 'poiss']","['heroiini', 'Heroiini', 'diasetyylimorfiini', 'poika']","['heroïne', 'heldin', 'joch', 'jong', 'knul', 'gozer', 'knaap', 'jongen', 'zoonlief', 'zoon']","['हेरोइन', 'हेरोइन द्रुग्', 'लड़का']","['eroina', 'ero', 'ragazzo', 'figliuolo', 'bambino', 'bimbo', 'figliolo', 'fanciullo', 'ragazzino', 'guaglione', 'maschietto', 'figlio', 'figlio maschio', 'maschio']",boy
"['psyché', 'esprit', 'noûs', 'Noûs', 'cerveau', 'tête', 'chef', 'leader', 'directeur', 'directrice', 'gestionnaire', 'administrateur', 'gérant', 'thème', 'question', 'point']","['Verstand', 'Nous', 'Psyche', 'Geist', 'Wahrnehmung', 'Haupt', 'Kopf', 'Leiter', 'Führer', 'Fragestellung']","['Нус', 'ра́зум', 'психика', 'ум', 'голова', 'глава́', 'башка́', 'голова́', 'директор']","['head', 'brain', 'mind', 'nous', 'psyche', 'Nous', 'caput', 'leader', 'director', 'boss', 'chief', 'managing director', 'manager', 'top dog', 'question']","['头脑', '脑海', '头', '脑袋', '精神', '心智', '心靈', '智性', '心灵', '头部', '頭子', '頭部', '头子', '頭', '腦袋', '首', '頭腦', '会长', '首领', '领袖', '领导人', '领导', '主管', '董事', '主任', '理事', '当家人', '经理', '导演', '首脑']","['mente', 'psique', 'Mente', 'Nous', 'nous', 'cabeza', 'cerebro', 'marote', 'melón', 'testa', 'sesera', 'coco', 'sabiola', 'tarro', 'maceta', 'chola', 'punta', 'líder', 'jefe', 'autoridad', 'dirigente', 'director', 'gerente', 'gestor', 'administrador', 'directora', 'manager', 'responsable', 'tema', 'asunto', 'encabezado', 'cuestión', 'titular', 'aspecto', 'materia', 'tópico']","['心', 'ヌース', '念頭', 'プシュケー', '頭', '頭部', 'リーダー', '指導者', '部門長', '役員']","['누스', '프시케', '마음', '머리', '부서장']","['nous', 'psüühika', 'Psüühika', 'Nous', 'vaim', 'Vaim', 'pea', 'direktor']","['Nous', 'Psyyke', 'mieli', 'pää', 'psyyke', 'nous', 'järki', 'älli', 'lanttu', 'kallo', 'johtaja', 'päällikkö', 'toimitusjohtaja', 'pomo', 'kysymys', 'asia']","['brein', 'verstand', 'psyche', 'Nous', 'geest', 'nous', 'denkvermogen', 'rede', 'kop', 'hoofd', 'baas', 'bazin', 'leider', 'op uw plaatsen, klaar, af!', 'directeur', 'chef', 'meester', 'meesteres', 'uitbater', 'exploitant', 'manager', 'dirk', 'beheerder', 'bedrijfsleider', 'schoolhoofd', 'rector', 'ouwe', 'bestuurder', 'thema', 'kwestie', 'vraagstuk', 'probleem', 'vraag']","['मन', 'सिर', 'सर']","['testare', 'pensiero', 'mente', 'cervello', 'Intelletto cosmico', 'psiche', 'nous', 'testa', 'psicologia', 'capo', 'capoccia', 'zucca', 'chiorba', 'cranio', 'direttore', 'leader', 'principale', 'guru', 'capintesta', 'amministratore', 'manager', 'amministratore delegato', 'gestore', 'gerente', 'comandante', 'responsabile', 'tema', 'questione', 'capitolo']",brain
"['freinage', 'frein']","['Abbremsen', 'Bremsen', 'Bremse']","['механический тормоз', 'Фрикционный тормоз']","['brake', 'braking']","['煞車', '刹车', '制动器', '闸']",['freno'],['ブレーキ'],['제동기'],"['pidur', 'Pidur']","['Jarru', 'jarru']","['rem', 'remmen']",['ब्रेक'],['freno'],brake
"['science économique', 'économie', 'économie politique', 'sciences économiques', 'Sciences économiques']","['Ökonomie', 'Wirtschaftswissenschaft', 'Ökonomik', 'politische Ökonomie', 'Politische Ökonomie']","['экономика', 'политическая экономия', 'эконо́мика']","['economics', 'economic science', 'political economy']","['经济学', '經濟學', '政治经济学']","['economía', 'economía política', 'económicas', 'ciencias económicas']","['経済学', '政治経済学']","['경제학', '經濟學', '정치경제학']","['ökonoomika', 'majandusteadus', 'Poliitiline ökonoomia', 'poliitiline ökonoomia']","['taloselämä', 'taloustiede', 'kansantalous', 'poliittinen talous', 'kansantaloustiede', 'ekonomia']","['economie', 'politieke economie']","['अर्थशास्त्र', 'राजनीतिक अर्थशास्त्र', 'अर्थनीति']","['economia', 'scienze economiche', 'economia politica']",branch
['brique'],"['Ziegelstein', 'Backstein', 'Mauerziegel', 'Ziegel']","['кирпич', 'кирпи́ч']",['brick'],"['磚塊', '磚', '砖块', '磚頭', '砖', '砖头']",['ladrillo'],['煉瓦'],['벽돌'],['tellis'],"['tiili', 'tiiliskivi']","['klinker', 'baksteen', 'metselsteen', 'beschermengel', 'kanjer', 'toeverlaat']",['ईंट'],"['mattone', 'tegola', 'laterizio', 'mattonella']",brick
"['pont', 'liste de ponts romains', 'passerelle']","['Brücke', 'Liste römischer Brücken']",['мост'],"['bridge', 'span', 'list of Roman bridges']","['橋', '桥', '桥梁']","['puente', 'bóveda']","['はし', '橋']","['다리', '교량']",['sild'],['silta'],"['brug', 'lijst van Romeinse bruggen']",['सेतु'],"['ponte', 'ponti romani']",bridge
"['fruticée', 'brosse', 'brosse à cheveux']","['Buschland', 'Bürste', 'Pinsel']","['Скрэб', 'скрэб', 'щётка', 'кисть', 'Щётка']","['brush', 'scrubland', 'shrubland']","['灌木丛', '灌叢群落', '刷', '刷子']","['Matorral', 'matorral', 'cepillo del pelo', 'cepillo', 'brocha', 'pincel', 'escobilla']","['低木砂漠', '刷子', 'ブラシ', '刷毛']","['관목지', '솔', '브러시']","['Hari', 'hari', 'pintsel']","['pensasaro', 'Pensasaro', 'pensasmaa', 'harja', 'suti', 'sivellin', 'suka']","['struweel', 'scrubland', 'borstel', 'haarborstel', 'verfborstel', 'tandenborstel', 'stoffer', 'kwast']","['क्षुपभूमि', 'ब्रश', 'बुरुश', 'झाड़ू']","['spazzola', 'pennello']",brush
"['seau', 'chaudière', 'bac', 'baquet']",['Eimer'],"['ведёрко', 'ведро', 'ведро́']","['bucket', 'pail', 'Pail']","['水桶', '吊桶', '桶']","['balde', 'cubo', 'pozal', 'tobo', 'cubeta']","['バケツ', 'ペール缶', '手桶', '桶']",['양동이'],"['Ämber', 'pang', 'ämber']","['ämpäri', 'kiulu', 'sanko']",['emmer'],['बाल्टी'],"['secchio', 'secchia', 'bugliolo']",bucket
"['ampoule', 'lampe incandescente', 'lampe à incandescence', 'ampoule à incandescence', 'lampe électrique', 'lampe']","['Glühbirne', 'Glühlampe', 'elektrisches Licht']","['лампа накаливания', 'лампочка', 'ла́мпа нака́ливания', 'электрическое освещение']","['lightbulb', 'electric-light bulb', 'incandescent light bulb', 'electric light', 'electric bulb', 'bulb', 'incandescent lamp', 'light bulb']","['灯泡', '电灯', '电灯泡', '白熱燈', '白炽灯', '電光源', '白熾燈', '白热灯', '白熾燈泡']","['bombillo', 'bombilla incandescente', 'lámpara incandescente', 'ampolla eléctrica', 'bombilla', 'ampolleta', 'luz eléctrica', 'lámpara de incandescencia']","['電球', '白熱電球', '白熱灯']","['전구', '백열등']","['pirn', 'elektripirn', 'lamp', 'Elektervalgustus', 'elektervalgustus', 'hõõglamp']","['hehkulamppu', 'lamppu', 'sähkövalo', 'Sähkövalo', 'sähkölamppu']","['gloeilamp', 'elektrisch licht', 'peer']","['लाईट बल्ब', 'तापदीप्त लैम्प', 'उद्दीप्त दीपक']","['lampadina', 'lampada a incandescenza', 'luce elettrica', 'bulbo']",bulb
"['curling', 'bouton', 'poussoir', 'bouton-poussoir']","['Curling', 'Knopf', 'Taste', 'Druckknopf', 'Druckschalter']","['кёрлинг', 'пуговица', 'кно́пка', 'кнопка']","['button', 'curling', 'push button', 'push', 'push-button']","['冰壺', '冰上溜石', '冰壶', 'Curling', '鈕扣', '钮', '扣子', '按钮', '按鈕', '電鈕', '电钮']","['curling', 'botón', 'tecla', 'pulsar', 'botón pulsador']","['カーリング', 'Curling', 'ボタン', '押しボタン']","['컬링', 'Curling', '단추', '버튼']","['jääkeegel', 'Jääkeegel', 'Nööp', 'nööp']","['curling', 'nappi', 'painokytkin', 'painonappi', 'painike', 'nappula', 'näppäin']","['curling', 'knoop', 'knop', 'toets', 'drukknop']",['Curling'],"['curling', 'bottone', 'pulsante', 'tasto']",button
['gâteau'],['Kuchen'],"['торт', 'пирожное']",['cake'],['蛋糕'],"['pastel', 'torta', 'bizcocho', 'coca', 'tarta']","['ケーキ', '菓子な']","['케이크', '과자']","['Kook', 'kook']",['kakku'],['taart'],['केक'],['torta'],cake
"['appareil photographique', 'caméra', 'appareil photo']","['Fotoapparat', 'Kamera', 'Filmkamera', 'Videokamera', 'elektronische Kamera', 'professionelle Videokamera']","['съёмочная камера', 'камера', 'фотоаппарат', 'Телевизионная камера', 'телевизионная камера']","['camera', 'photographic camera', 'still camera', 'movie camera', 'television camera', 'tv camera', 'professional video camera']","['照相機', '照相机', '相机', '专业摄影机']","['cámara fotográfica', 'cámara', 'cámara de video profesional', 'cámara de televisión']",['カメラ'],"['카메라', '사진기', '프로페셔널 비디오 카메라']","['kaamera', 'fotoaparaat', 'Kaamera']","['kamera', 'valokuvakamera', 'televisiokamera']","['fotocamera', 'videocamera', 'filmcamera', 'fototoestel', 'televisiecamera']",['कैमरा'],"['fotocamera', 'macchina fotografica', 'apparecchio fotografico', 'videocamera', 'telecamera']",camera
"['pièce d’identité', ""carte d'identité"", ""carte d'identification"", ""pièce d'identité"", 'carte d’identité', 'carte', 'document']","['Personalausweis', 'Ausweis', 'ID', 'Identitätskarte']","['удостоверение личности', 'идентификационные карты', 'удостовере́ние', 'удостовере́ние ли́чности', 'па́спорт', 'ли́чное удостовере́ние']","['identity card', 'I.D.', 'ID', 'identity document', 'identification card', 'card', 'ID card']","['证件', '身分證', '證件', '身份证', '身份證', '身份卡']","['documento de identidad', 'identificación', 'carné de identidad', 'carnet de identidad', 'documento nacional de identidad', 'cédula de identidad', 'DNI', 'credencial', 'carnet']","['身分証明書', '身分証', 'ＩＤカード', 'ＩＤ']","['신분증', 'ID 카드']","['ID-kaart', 'isikutunnistus']","['henkilökortti', 'henkilöllisyystodistus', 'henkilötodistus', 'I.D.', 'ID']","['identiteitskaart', 'legitimatiebewijs', 'stamkaart', 'identiteitsbewijs', 'legitimatiepapier', 'persoonsbewijs', 'legitimatiekaart', 'legitimatie']",['पहचान पत्र'],"[""carta d'identità"", ""documento d'identità"", 'carta di identità', 'documento']",card
"['véhicule ferroviaire', 'wagon', 'automotrice', 'autorail', 'automotrice tractrice', 'véhicule ferroviaire remorqué', 'véhicule automoteur', 'voiture', 'carrosse', 'équipage', 'voiture à cheval']","['Waggon', 'Eisenbahnwagen', 'Kabine', 'Triebwagen', 'Verbrennungstriebwagen', 'Equipage', 'Kutsche', 'Wagen']","['железнодорожное транспортное средство', 'ваго́н', 'автомотриса', 'каби́на', 'вагон', 'карета', 'теле́га', 'каре́та', 'экипа́ж', 'пово́зка']","['carriage', 'railroad car', 'railway carriage', 'car', 'railcar', 'railway car', 'motor coach', 'rig', 'equipage']","['吊艙', '吊舱', '鐵路車輛', '動力分散式', '火車車廂', '火车车厢', '轨道巴士', '车卡', '铁路车辆', '車卡', '有轨车', '自动道车', '马车', '馬車', '車廂', '四轮马车']","['vagón', 'vehículo ferroviario', 'Automotor', 'automotor', 'material remolcado', 'vagón de ferrocarril', 'Coche automotor', 'coche', 'tren', 'carruaje', 'carroza', 'carruaje de lujo', 'coche de caballos']","['気動車', '鉄道車輛', '自走客車', '馬車', 'キャリッジ']","['철도 차량', '동차', '궤도차', '마차']","['raudteesõiduk', 'mootorvagun', 'vagun', 'Vagun', 'Mootorvagun', 'tõld', 'Tõld']","['rautatieajoneuvo', 'moottorivaunu', 'junanvaunu', 'rautatievaunu', 'Moottorivaunu', 'vaunu', 'junavaunu', 'hissikori', 'kiskoauto', 'raidevaunu', 'ekipaasi', 'Valjakkovaunu', 'kärryt', 'valjakkovaunu', 'vaunut', 'rattaat']","['wagon', 'spoorwagen', 'spoorvoertuig', 'rijtuig', 'motorrijtuig', 'railvoertuig', 'motorwagen', 'spoorrijtuig', 'treinwagon', 'koets', 'break', 'brik', 'janplezier']",['गाड़ी'],"['veicolo su rotaia', 'vagone', 'automotrice', 'carrozza', 'cabina', 'bisarca', 'carro merci']",carriage
"['minou', 'chat', 'chat domestique']","['Hauskatze', 'Katze', 'Mietzekatze', 'Mietze', 'Stubentiger']","['кошка', 'кот']","['pussy', 'domestic cat', 'kitty-cat', 'cat', 'pussycat', 'kitty', 'puss', 'true cat', 'house cat']","['貓', '猫', '家貓']","['gato', 'gata', 'gato doméstico', 'Felis silvestris catus', 'felis silvestris catus']","['猫', 'ネコ', 'Felis silvestris catus']","['고양이', 'Felis silvestris catus']",['kass'],"['mirri', 'kissa', 'kesykissa', 'kisu', 'katti', 'kissaeläin']","['kat', 'huiskat']","['बिल्ली', 'Felis silvestris catus']","['micio', 'gatto', 'gatto domestico', 'micino', 'Felis silvestris catus']",cat
