word_original,synset,senses,definitions
bell,bn:00009728n,"['전령', '초인종', '도어폰', '벨']",['초인종은 일반적으로 주택의 현관이나 문에 설치되어 방문자가 거주자를 호출하는 데 사용되는 장치이다.']
berry,bn:00010066n,"['딸기류', '베리']",['‘주로 가꾸는 식물에서 나는 먹을 수 있는 열매’을 먹을거리로 일컫는 말.']
bird,bn:00010605n,"['새', 'Aves']","['날짐승으로 이루어진 등뼈동물의 한 강.', '새 또는 조류는 백악기 대멸종에서 살아남은 수각류 공룡을 의미한다.']"
blade,bn:00011081n,"['도검', '칼', '검']","['전쟁에 쓰이는 총검, 화포, 핵병기 따위 온갖 기구.', '세계의 여러 시대 여러 문화의 도검 도검은 찌르거나 베는 근접무기이다.']"
board,bn:00021015n,['위원회'],"['위원회는 단독제·독임형 조직에 대응하는 조직으로서 민주적 결정과 조정을 촉진시키기 위해 복수의 구성원으로 구성되는 합의제 행정기관이다.', '단독제·독임형 조직에 대응하는 조직', '특정 권한을 위임 받아 사무를 집행하는 기구']"
boat,bn:00011674n,"['보트', '배']","['보트 또는 단정은 물 위를 움직이면서 떠다닐 수 있도록 설계된 다양한 유형과 크기의 선박이다.', '물 위를 움직이면서 떠다닐 수 있도록 설계된 다양한 유형과 크기의 선박']"
bone,bn:00011999n,['뼈'],"['등뼈동물의 살 속에 싸여 그 몸을 지탱하는 단단한 물건.', '뼈는 척삭동물문에 속하는 동물들의 동체를 지탱하는 단단한 연결 조직이자 기관이다.', '척삭동물문에 속하는 동물들의 동체를 지탱하는 단단한 연결 조직이자 기관']"
book,bn:00012059n,['책'],"['간행된 책, 그림, 신문 따위.', '팔거나 퍼뜨릴 목적으로 인쇄한 책이나 그림.', '글자나 숫자 따위로 일정한 뜻을 나타낸 것.', '책은 일정한 목적으로 쓴 글 및 참고 자료 등을 덧붙여 묶은 것이다.', '지식을 표현하기 위해 단어들이나 그림들을 모아놓은 것']"
boot,bn:00012166n,['부츠'],['부츠 또는 장화란 신발의 한 종류로 복사뼈 위나 장딴지 이상 높이의 신발을 총칭한다.']
bottle,bn:00012339n,['병'],"['주로 액체나 가루를 담는 데 쓰이는, 목과 아가리가 좁은 그릇 + 아가리가 좁고 배가 부른 질그릇의 한 가지 + 꽃을 심는 그릇.', '병은 몸체에 좁은 입구가 있는 목이 달린 그릇의 일종이다.']"
box,bn:00012524n,['상자'],"['물건을 넣어 두기 위하여 나무, 대, 또는 종이로 만든 손그릇.', '상자 또는 박스는 그 내용물을 반영구적으로 저장 혹은 일시적으로 보관하기 위한 용기이다.']"
boy,bn:00012569n,['소년'],"['어린 사내아이.', '소년은 어린이와 청소년을 아울러 일컫는 말로, 유아와 청년 사이인 만 7세부터 19세까지의 연령대를 지칭한다.', '어린이와 청소년을 아울러 일컫는 말']"
brain,bn:00012681n,"['누스', '프시케', '마음']","['의지나 결심.', '마음은 사람이 다른 사람이나 사물에 대하여 생각, 인지, 기억, 감정, 의지, 그리고 상상력의 복합체로 드러나는 지능과 의식의 단면을 가리킨다.', '누스는 이성, 지성, 정신, 영혼 등을 의미하는 그리스어이다.', '프시케는 고대 그리스의 단어로 원래는 숨을 의미하였다.', '지능과 의식의 단면']"
brake,bn:00012710n,['제동기'],['제동기는 동작을 방해하는 기계장치로 클러치와 반대되는 부품이다.']
branch,bn:00029676n,"['경제학', '經濟學', '정치경제학']","['정치경제학은 원래 생산, 매입과 매각 행위, 그리고 이들 행위들이 각각 법, 관습과 정부와 맺는 관계를 연구하는 학문을 일컬었다.', '경제학은 자원이 제한된 상황에서 사람이 어떻게 행동하는지 연구하는 사회과학의 한 분야이다.', '재화나 용역의 생산과 분배, 그리고 소비와 같은 경제현상을 연구하는 사회과학의 한 분야']"
brick,bn:00013047n,['벽돌'],['벽돌은 점토와 셰일을 주원료로 하여 높은 온도에서 구워 낸 건축 재료를 말한다.']
bridge,bn:00013077n,"['다리', '교량']","['강이나 내나 두 언덕 사이의 위로 건너 다니도록 돌, 쇠, 나무 따위로 설쳐 만든 설비.', '교량 혹은 다리는 도로, 철도, 수로 등의 운송로 상에 장애가 되는 하천, 계곡, 강, 호수, 해안, 해협, 등을 건너거나, 또 다른 도로, 철도, 가옥, 농경지, 시가지 등을 통과할 목적으로 건설되는 구조물을 총칭할 수 있다.', '떨어진 두 지점을 공중으로 연결하는 구조물']"
brush,bn:00013489n,"['솔', '브러시']","['솔은 물건에 낀 때나 먼지를 쓸어 깨끗이 하기 위하여 짐승의 털이나 합성수지, 가는 철사 등으로 곧추세워 만든다.']"
bucket,bn:00013590n,['양동이'],"['양동이는 액체 등의 운반에 사용되는 손잡이가 달린 용기를 말한다.', '액체 등의 운반에 사용되는 손잡이가 달린 용기']"
bulb,bn:00013745n,"['전구', '백열등']","['백열등 또는 백열전구 는 높은 온도를 이용해서 빛을 내는 전기적인 조명 장치이다.', '높은 온도를 이용해서 빛을 내는 전기적인 조명 장치']"
button,bn:00014305n,['단추'],['단추란 옷을 여미거나 풀기 편하게 하기 위한 물건이다.']
cake,bn:00014609n,"['케이크', '과자']",['.']
camera,bn:00015008n,"['카메라', '사진기']","['촬영기.', '사진기 또는 촬영기 혹은 카메라는 빛을 이용하여 그림을 촬영하여 이미지를 기록하는 도구이다.', '정지영상이나 동영상을 저장하거나 전송할 수 있는 광학장비', '정지영상이나 동영상을 저장하거나 전송할 수 있는 광학장비']"
cart,bn:00016292n,['수레'],"['수레는 바퀴를 달아 굴러가게 만든 기구로, 짐을 싣고 나르거나 사람이 탄다.']"
cat,bn:00016606n,"['고양이', 'Felis silvestris catus']","['고양이는 식육목 고양이과에 속하는 포유류이다.', '포유류에 속하는 동물']"
cheese,bn:00018038n,"['건락', '치즈']","['치즈, 또는 건락은 우유, 염소젖, 양젖 또는 그 밖의 포유류의 젖으로 만든 고체 음식이다.', '소젖이나 염소젖, 양젖 등 동물의 젖에 있는 카세인을 뽑아 응고·발효시킨 식품']"
chest,bn:00018208n,"['궤', '불교 용어 목록', '불교 용어 목록/구']","['물건을 넣어 두기 위하여 나무, 대, 또는 종이로 만든 손그릇.', '바로가기: ㄱ 경 구 ㄴ ㄷ ㄹ ㅁ 명 무 묵 ㅂ 불 ㅅ 삼 삽 선 소 수 시 심 ㅇ 오 온 유 육 이 ㅈ 정 지 ㅊ ㅋ ㅌ ㅍ ㅎ.', '궤의 한자어 문자 그대로의 뜻에는 모자람 또는 결핍이 있으며, 이러한 뜻에서 번뇌의 동의어로 사용된다.대승불교의 유식유가행파의 논서 《유가사지론》 제8권에 따르면, 궤는 번뇌의 다른 이름인 결 · 박 · 수면 · 수번뇌 · 전 · 폭류 · 액 · 취 · 계 · 개 · 주올 · 구 · 상해 · 전 · 소유 · 근 · 악행 · 누 · 궤 · 소 · 뇌 · 유쟁 · 화 · 치연 · 조림 · 구애 가운데 하나이다.궤는 무유염족을 뜻한다.', '궤는 물건 수납을 위해 만든 상자형의 가구의 일종이다.', '위키미디어 목록 항목']"
chin,bn:00018426n,"['턱', '아래턱']",['아래턱은 입술 아래 전면부 아래턱뼈의 앞쪽으로 뾰족히 튀어나온 부분을 가리킨다.']
church,bn:00018995n,"['교회', '성당', '교회당', '례배당', '예배당']","['예배 의식이나 그 밖의 모임을 위해 세운 건물.', '교회당은 주로 기독교에서 교리와 신앙을 가르치고 예배 의식을 행하는 시설로서, 신자들의 공동체가 모이는 건물이며 통상적으로는 예배당을 가리킨다.']"
circle,bn:00019169n,"['원', '동그라미']",['기하학에서 원은 평면 위의 한 점에 이르는 거리가 일정한 평면 위의 점들의 집합으로 정의되는 도형이다.']
clock,bn:00019887n,['시계'],"['시간을 재거나 가리키는 기계. 흔히 태엽의 힘으로 바퀴를 돌게 하고 추나 유사의 움직임을 이용하여 바퀴의 도는 속도를 일정하게 조절하게 되어 있다.', '시계는 시간을 나타내거나 시간을 재는 기계나 장치이다.', '시간을 나타내거나 시간을 재는 기계나 장치']"
cloud,bn:00020002n,['구름'],"['공중에 엉기어 떠 있는 수증기나 자디잔 얼음 결정의 덩어리.', '구름은 지구, 행성 또는 위성의 대기에 떠다니는, 작은 물방울이나 얼음 알갱이들의 모임이다.', '지구, 행성 또는 위성의 대기에 떠다니는, 작은 물방울이나 얼음 알갱이들의 모임']"
coat,bn:00047823n,['재킷'],['재킷은 앞이 터지고 소매가 달린 짧은 상의이다.']
collar,bn:00005136n,['체포'],"['체포는 형법에 의거하여, 사람의 신체에 대하여 직접적이고 현실적인 구속을 가하여 행동의 자유를 빼앗는 일을 말한다.']"
comb,bn:00020849n,['빗'],['빗은 머리털을 빗는 도구이다.']
cow,bn:00012273n,"['소', 'Bos primigenius taurus']","['소는 소속에 속한 초식동물로, 가축의 하나이며, 학명은 Bos taurus로 책정된다.', '소속에 속한 초식동물']"
cup,bn:00024410n,"['컵', '잔', '유리잔']","['비어 있는 그릇+술 따위를 따라 마시는 데 쓰려고 만든 작은 그릇+운두가 썩 얕고 납작한 그릇.', '잔 또는 컵은 음료를 마시고 휴대하기 위해 사용되는 조그마한 그릇의 일종이다.', '유리잔은 음료 또는 아이스크림 등을 넣는 데 사용되는 유리로 만들어진 식기이다.', '음료를 마시고 휴대하기 위해 사용되는 조그마한 그릇의 일종']"
curtain,bn:00024534n,['커튼'],"['커튼은 빛을 가리거나 찬 바람, 물 등을 막기 위해 설치하는 넓은 천을 일컫는다.']"
cushion,bn:00024564n,['완충기'],['완충기는 위치의 이동을 억제하기 위한 장치다.']
dog,bn:00015267n,"['개', 'Canis lupus familiaris']","['개는 중형 동물이자 가장 널리 분포하며 개체 수가 가장 많은 지상 동물 중 하나이며 가축화한 회색늑대이다.', '네 발로 걷고 인류의 반려동물로 키워지기도 하는, 포유류에 속한 동물']"
door,bn:00028247n,['문'],"['드나들거나 통할 수 있도록 만들어 놓은 물건.', '문은 일반적으로 건물과 그 내부의 방, 차량, 철도, 차량, 항공기 등의 출입구에 붙여지는 이름이다.', '사람이 드나드는 곳에, 열고 닫을 수 있게 하여 방범 하기 위한 목적으로 설치하거나, 입구를 장식하기 위해 배치하는 구조물']"
drain,bn:00034158n,"['문', '장효과 트랜지스터']","['장효과 트랜지스터 또는 전계효과 트랜지스터는 게이트 전극에 전압을 걸어 채널의 전기장에 의하여 전자 또는 양공이 흐르는 관문이 생기게 하는 원리로 소스, 드레인의 전류를 제어하는 트랜지스터이다.']"
drawer,bn:00028639n,"['도화', '그림', '소묘']",['소묘 또는 데생은 형태와 명암을 위주로 단색으로 그린 그림이다.']
dress,bn:00006125n,['옷'],"['몸을 싸서 가리기 위하여 피륙 따위로 몸의 전체나 각 부분의 둘레에 맞게 지어 입는 물건.', '몸을 싸서 가리기 위하여 피륙 따위로 몸의 전체나 각 부분의 둘레에 맞게 지어 입는 물건.', '옷 또는 의복 혹은 의상은 사람이 몸 위에 입는, 천이나 가죽 등으로 된 물건이다.', '사람이 몸 위에 입는, 천이나 가죽 등으로 된 물건']"
drop,bn:00028709n,['방울'],"['떨어져 나온 물의 작은 덩이.', '방울은 대기압을 뺀 압력을 받지 않은 조그만 액체 부피의 모임이다.', '대기압을 뺀 압력을 받지 않은 조그만 액체 부피의 모임']"
ear,bn:00029372n,['귀'],"['듣는 기능을 가진, 감각기관의 하나.', '귀는 동물이 소리를 듣는 기관이다.', '동물이 소리를 듣는 기관']"
egg,bn:00029914n,"['알', '달걀']","['달걀 또는 계란은 닭의 알이다.', '닭의 알']"
engine,bn:00030850n,"['모터', '엔진', '기관']","['수력, 화력, 전력 따위 에너지를 기계적 에너지로 바꾸는 기계. 열기관, 수력터빈, 전동기 따위.', '기관 또는 원동기는 다른 에너지를 기계적 에너지로 전환하는 기계다.', '다른 에너지를 기계적인 에너지로 전환하는 기계']"
eye,bn:00032512n,['눈'],"['사람이나 동물의 보는 감각을 일으키는 기관.', '눈은 빛을 감지하는 감각 기관이다.', '빛을 감지하는 감각 기관']"
face,bn:00032600n,['얼굴'],"['눈․코․입 들이 있는 머리의 앞쪽.', '이마와 볼과 턱.', '얼굴은 인간이 가진 머리의 앞쪽 부분으로, 이마부터 귀, 머리카락, 눈썹, 눈, 코, 뺨, 입, 입술, 인중, 이, 피부, 턱을 포함한다.', '인간이 가진 머리의 앞쪽 부분으로']"
farm,bn:00033676n,['농장'],"['농장과 목장.', '농장은 주로 음식, 섬유, 연료를 생산하고 관리할 목적으로 농지, 집, 농구, 가축, 노동력 등을 갖추어 농업을 경영하는 곳이다.']"
feather,bn:00033865n,"['깃', '깃털']","['새 날개의 털.', '깃털은 새와 일부 공룡의 몸을 덮고 있는 털이다.']"
finger,bn:00034565n,['손가락'],"['손끝에 달린 다섯 개의 짤막한 가락. 엄지손가락, 집게손가락, 가운뎃손가락, 약손가락, 새끼손가락 들이 있다.', '손가락은 손에 붙어 있는 몸의 구성 중의 하나이다.']"
fish,bn:00034816n,"['물고기', '어류', '고기']","['물고기 또는 어류는 척추동물아문에 속하는 동물의 하나이다.', '척추동물아문에 속하는 동물의 하나']"
flag,bn:00034960n,['기'],"['헝겊이나 종이 따위에 글자나 그림이나 부호를 그리어서 막대 같은 것에 달아 특정한 뜻을 나타내는 표상으로 쓰는 물건.', '기 또는 깃발, 여괴는 직물 조각에 특유의 도안을 인쇄한 것 또는 그 도안으로, 상징물, 신호, 장식, 광고 등의 목적으로 사용된다.', '특유의 도안이나 색상이 넣어진 천으로 만든 상징']"
floor,bn:00079476n,"['골짜기', '계곡']","['골짜기 또는 계곡은 산과 산 사이, 또는 절벽과 절벽 사이 등에 만들어진 움푹 패인 지형을 말한다.', '산과 산 사이, 또는 절벽과 절벽 사이 등에 만들어진 움푹 패인 지형']"
fly,bn:00035494n,['파리목'],"['파리목은 파리, 모기, 등에 등이 속해 있는 곤충의 한 분류이다.', '곤충의 한 분류']"
foot,bn:00035679n,['발'],"['사람이나 동물의 다리 끝에 있는, 땅을 디디는 구실을 하는 부분.', '발은 많은 동물들이 갖고 있는 신체 부위로, 주로 이동을 할 때에 사용된다.', '많은 동물들이 갖고 있는 신체 부위']"
fork,bn:00035902n,['포크'],['포크는 음식을 집어 먹을 때 사용하는 식기이다.']
fowl,bn:00028155n,"['가금', '닭기러기류', '집새']","['가금, 또는 가금류는 가축으로서 사람들에게 달걀 등 새알이나 고기 및 깃털 등 다양한 생산품을 제공하는 가축화된 새를 총칭하는 개념이다.', '닭기러기류는 현존하는 조류 분류군의 하나이다.', '가축으로 기르는 새']"
frame,bn:00003882n,"['인체생리학', '체격', '인간의 몸', '몸매', '인체']","['인체생리학은 인간을 대상으로 한 생물학의 한 분야이며 의학, 영장류학 및 기타 다양한 분야와 밀접하게 관련되어 있다.', '인체는 인간이라는 유기체가 지닌 신체적 구조를 전체적으로 지칭하는 말이다.', '인간의 전체 구조']"
garden,bn:00037300n,['정원'],"['집안에 있는 뜰이나 꽃밭.', '정원은 일반적으로 실외에 식물 등 자연을 이용해 조성되는 공간이다.']"
girl,bn:00034453n,"['여자', '소녀', '녀자']","['+ 여성으로 태어난 사람.', '여성으로 태어난 사람.', '소녀는 여성 어린이 또는 청소년을 말한다.']"
glove,bn:00040736n,['장갑'],"['추위를 막거나 손을 보호하거나 치레로 손에 끼는 물건.', '장갑은 손을 보호하기 위해서, 또는 추위를 막기위해 끼는 것이다.']"
goat,bn:00015720n,"['염소', 'Capra aegagrus hircus']","['염소는 들염소를 가축화한 동물로서, 가축이 된 지 수천년이 지났으나 산악지대에 서식하던 야생의 성질은 그대로 남아 있다.']"
gun,bn:00042221n,"['총', '화기']","['전쟁에 쓰이는 총검, 화포, 핵병기 따위 온갖 기구.', '총은 보통 개인이 휴대할 수 있는 구경이 작은 화기를 말한다.', '화기는 화약을 이용하여 총탄 등을 발사하는 무기를 말한다.', '개인이 휴대할 수 있는 구경이 작은 화기']"
hair,bn:00042526n,"['털', '머리']","['사람이나 동물의 피부에 나는 가는 실과 같은 것.', '털은 피부의 모낭에서 자라는 단백질 섬유이다.', '피부의 모낭에서 자라는 단백질 섬유']"
hammer,bn:00042730n,['망치'],"['망치는 흔히 못을 박거나, 물체를 파쇄하기 위해 사용된다.', '흔히 못을 박거나, 물체를 파쇄하기 위해 사용되는 도구']"
hand,bn:00042759n,['손'],"['사람의 팔목 끝에 달린 부분.', '손은 사람이나 영장류 몸의 한 부분이다.', '일부 생물의 팔 끝에 달린 기관']"
hat,bn:00017718n,['모자'],"['주로 피륙으로 만든, 머리에 쓰는 물건.', '모자는 머리를 덮을 수 있는 것 중의 하나이며, 주로 더위·추위·먼지 등을 막기 위하여 머리에 쓰는 물건이다.']"
heart,bn:00043383n,['심장'],"['심장 또는 염통은 대부분의 동물에서 순환계의 혈관을 통해 혈액을 순환시키는 근육 기관이다.', '동물의 혈액을 순환시키는 신체 장기']"
horn,bn:00022750n,"['트럼펫', '코넷']","['트럼펫은 금관 악기 중에 가장 많이 쓰이는 악기로, 가장 높은 음을 낸다.', '코넷은 금관 악기로서 트럼펫과 비슷하게 생겼다.']"
horse,bn:00031345n,['말'],"['말은 말목 말과의 동물이자, 학명은 Equus caballus이다.', '말목 말과의 동물']"
hospital,bn:00044896n,"['병원', '病院']","['병든 사람을 진찰, 치료 및 예방하기 위하여 설비를 갖추어 놓은 곳.', '병원은 질병이나, 질환에 대해 의료를 제공하고 환자가 입원하는 시설이다.', '질병이나 질환에 대해 의료를 제공하고 환자가 입원하는 시설']"
house,bn:00044994n,['집'],"['사람이 들어서 살 수 있게 만든 것.', '집은 사람이나 동물이 거주하기 위해 지은 건물로, 보통 벽과 지붕이 있으며, 추위와 더위, 비바람을 막아 준다.', '거주하기 위한 목적으로 지은 건축물']"
island,bn:00047612n,['섬'],"['사면이 물로 둘러싸인 뭍.', '섬은 바다로 완전히 둘러싸인 땅으로 대륙보다 작고 암초보다는 큰 것을 말한다.', '물로 둘러싸인 땅']"
jewel,bn:00037606n,"['보석', '寶石']","['흔히 몸치장할 때 쓰는, 몸이 매우 단단하고 광택이 곱고 그 나는 분량이 썩 적은 귀중한 광물.', '보석은 아름다운 빛깔과 광택이 있어 장식품이 되는 광물 및 가공품을 말한다.']"
kettle,bn:00011829n,['주전자'],"['밑보다 아가리가 벌어지고 운두가 나지막하며, 뚜껑과 손잡이가 있는, 음식을 넣고 끓이는 데 쓰는 그릇 + 밥을 짓거나 국 따위를 끓이는 그릇.', '주전자는 부엌에서 사용하는 도구들 중 하나다.']"
key,bn:00048985n,['열쇠'],['열쇠는 자물쇠를 여는 데 쓰이는 도구이다.']
knee,bn:00006140n,['무릎'],"['인체 해부학에서 무릎 또는 슬관절은 넙다리뼈 와 정강이뼈 를 잇는 다리 관절이다.', '넙다리뼈와 정강이뼈를 잇는 다리 관절']"
knife,bn:00049322n,"['나이프', '칼']","['물건을 베거나 썰거나 깎는 데 쓰는, 날과 자루가 있는 연장.', '나이프 또는 도구는 날 또는 모서리를 사용해 무언가를 잘라내는 도구이다.', '날 또는 모서리를 사용해 무언가를 잘라내는 도구']"
knot,bn:00049367n,['매듭'],"['매듭은 실, 끈, 로프 등을 묶어 맺은 자리를 뜻한다.']"
leaf,bn:00035596n,['잎'],"['식물의 영양기관의 하나. 풀과 나무의 가지나 줄기의 마디에서 나며, 숨쉬기 작용과 탄소동화작용을 한다.', '잎은 광합성과 증산작용 및 호흡 작용을 하는 식물의 기관 가운데 하나이다.', '식물의 영양 기관']"
leg,bn:00050541n,"['다리', '사람의 다리']",['손과 발.']
line,bn:00076373n,"['텔레비전', '티뷔', '비디오', '티비', '텔레비', '전시', '테레비', '티브이']","['라디오나 텔레비전을 통해서 널리 듣고 볼 수 있게 소리나 영상을 전자파로 바꾸어 내어 보냄.', '텔레비전은 동영상 및 화상신호를 전송하는 원거리 통신 대중 매체이다.', '비디오는 전기 신호를 이용한 영상의 처리 기술과 그것을 이용한 주변 기술 전반에 관련되는 용어이고 오디오에 대응하는 분야이다.', '오디오에 대응하는 분야', '동영상 및 화상신호를 전송하는 원거리 통신 대중 매체']"
lip,bn:00051440n,['입술'],"['입의 위아래 둘레를 이루는 살.', '입술이란 인간이나 여러 동물들에서 발견할 수 있는 입의 가장 바깥 부분에 노출된 신체 기관을 의미한다.']"
lock,bn:00024493n,['가마'],"['가마, 뇌전, 두선은 몸 중심부에 털이 한 곳으로 보인 부분이다.']"
map,bn:00036821n,"['일가함수', '맵핑', '함수']","['수학에서 함수 또는 사상은 어떤 집합의 각 원소를 다른 어떤 집합의 유일한 원소에 대응시키는 이항 관계이다.', '일가함수는 함수 y = f에서 y값이 변수 x의 값에 단 한개만 대응하며 특별한 제한이 없는 함수를 말한다.', '넘겨주기 매핑', '모든 입력이 유일한 출력을 갖는 이항 관계']"
match,bn:00036522n,['성냥'],"['성냥은 불을 붙이는 도구이다.', '불을 붙이는 도구, 나뭇가지']"
monkey,bn:00055685n,['원숭이'],"['원숭이 또는 잔나비는 영장류에 속하는 동물의 총칭이다.', '원숭이하목에 속하는 영장류 중 유인원을 제외한 나머지를 부르는 이름이다.']"
moon,bn:00055813n,['위성'],"['지구의 달별.', '자연위성 또는 단순히 위성은 행성 따위의 둘레를 도는 천체를 말한다.', '행성에 사로잡혀 그 주변을 도는 자연적 물체']"
muscle,bn:00056377n,['근육'],"['힘줄과 살.', '근육은 힘줄과 살을 통틀어 이르며, 동물의 운동을 맡은 기관이다.', '힘줄과 살을 통틀어 이르며, 동물의 운동을 맡은 기관']"
nail,bn:00056727n,"['손톱', '손발톱']","['손발톱은 손가락과 발가락에 각각 달려 있는 반투명한 케라틴 재질이다.', '손가락과 발가락에 각각 달려 있는 반투명한 케라틴 재질']"
neck,bn:00017395n,['목'],"['머리와 몸의 사이를 잇댄 잘록한 부분.', '목은 척추동물의 머리와 몸통을 연결하는 부위이다.', '머리와 몸통을 연결하는 신체 부위']"
nerve,bn:00057322n,['신경'],['신경은 생물이 주위의 환경과 자극을 감지하고 이에 대처하는 기관이다.']
net,bn:00024712n,"['인터넷', '인터네트', '누리망', '넷', '가상 공간']","['가상 공간 또는 사이버 공간 혹은 사이버스페이스는 현실세계가 아닌 컴퓨터, 인터넷 등으로 만들어진 가상의 공간을 의미한다.', '인터넷은 컴퓨터로 연결하여 TCP/IP라는 통신 프로토콜을 이용해 정보를 주고받는 컴퓨터 네트워크이다.', '세계 최대 규모의 컴퓨터나 스마트 장치 등의 광대역 서비스를 기반으로 통신 네트워크']"
nose,bn:00058117n,['코'],"['냄새를 맡거나 숨을 쉬는 기능의 감각기관.', '코는 동물이나 사람의 얼굴에 돌출된 형태로 붙어 있는 경우가 많고 구멍이 뚫려 있으며 주로 호흡을 하고 냄새를 맡는 데 이용되는 기관이다.', '동물이나 사람의 얼굴에 돌출된 형태']"
nut,bn:00058343n,['암나사'],['암나사 또는 너트는 나사선을 안쪽에 새긴 잠금장치이다.']
office,bn:00001961n,"['사무실', '정부 기관', '관청', '오피스']","['국가 또는 지방자치단체의 행정사무를 맡아보는 기관.', '관청은 법률로 정해진 국가적인 사무를 취급하는 권한이 있는 국가기관을 총칭한다.', '사람들이 일을 하는 장소나 방']"
orange,bn:00059250n,"['주황', '주황색']","['주황 또는 오렌지색은 색 중 하나이다.', '빨강과 노랑의 중간색']"
oven,bn:00059829n,['오븐'],"['오븐은 밀폐된 공간에 물질을 넣고 열과 수증기를 함께 이용하여 굽거나 건조시키는 등의 작업을 할 수 있도록 설계된 기구이다.', '조리기구의 하나']"
pen,bn:00061314n,['펜'],"['펜은 종이 등에 잉크를 묻혀 글씨를 쓰거나 그림을 그리는 필기구이다.', '쓰거나 그리는 도구']"
pencil,bn:00061334n,['연필'],"['연필은 종이와 같은 마이크로 단위의 입자가 달라붙을 수 있는 거친 표면에 글씨를 쓰거나 그림을 그리는 등의 자취를 남길 수 있는 도구이다.', '주로 글을 쓸 때 사용되는 긴 막대']"
