fr,de,ru,en,zh,es,ja,ko,et,fi,nl,hi,word_original,it
"['forêt', 'bois', 'brousse', 'Wälder', 'aubier']","['Busch', 'Wald', 'Forst', 'Wälder', 'Holz', 'Splintholz']","['лес', 'дерево', 'оболонь', 'древеси́на', 'древесина', 'лесоматериа́л', 'де́рево']","['forrest', 'forest', 'wood', 'woods', 'Wälder', 'sap-wood', 'sapwood', 'alburnum']","['林木', '树林', '樹林', '森林', '木头', '木', '木材', '木料', '木頭']","['bosque', 'Wälder', 'bosques', 'selva', 'floresta', 'albura', 'sámago', 'madera']","['森林', '森', '木材', '木']","['숲', '삼림', '나무', '목재']","['laas', 'mets', 'Wälder', 'puit', 'puu']","['metsä', 'Wälder', 'puu', 'puumaila', 'pintapuu', 'puuaines']","['bos', 'woud', 'Wälder', 'bosje', 'foreest', 'hout', 'spinthout', 'houtsoort']","['जंगल', 'वन', 'लक्डी', 'लकड़ी', 'काठ', 'काष्ठ']",forest,"['foresta', 'bosco', 'Wälder', 'selva', 'bosco misto', 'legno', 'alburno', 'legname']"
"['fruit', 'fruit charnu']","['Frucht', 'Saftfrucht']","['фрукт', 'плод', 'мягкотелый плод']","['fruit', 'fleshy fruit']","['水果', '果实', '果子']","['fruta', 'fruto']","['実', '果実', '液果']",['열매'],"['vili', 'puuvili']",['hedelmä'],"['vrucht', 'ooft', 'vlezig fruit', 'fruit', 'zaadbol']",['फल'],fruit,"['frutto', 'frutta carnosa', 'frutta']"
"['réseau', 'filet', 'réseau informatique', 'maille de tricot', 'maillage', 'tissus']","['Netzwerk', 'Rechnernetz', 'Computernetzwerk', 'Netz', 'Gittergewebe', 'Gitter']","['сетка', 'компьютерная сеть', 'мерёжа', 'мре́жа', 'се́тка', 'сеть']","['net', 'computer network', 'mesh', 'network', 'meshwork', 'meshing', 'knitting stitch']","['電腦網路', '计算机网络', '網', '筛', '网孔', '网', '網孔']","['malla', 'red informática', 'red de computadoras', 'red', 'red de ordenadores', 'rejilla']","['コンピュータ・ネットワーク', '編', '網', 'メッシュ']","['그물', '망']",['võrk'],"['verkko', 'seula']","['gaas', 'computernetwerk', 'netwerk', 'net', 'breisteek', 'vangnet']",['जाल'],grid,"['rete', 'rete di calcolatori', 'rete informatica', 'maglia', 'reti']"
['chanson'],['Lied'],['песня'],"['song', 'vocal']","['歌', '歌曲']","['canción', 'vocal']","['歌曲', '歌']",['노래'],['laul'],"['laulu', 'sävelmä', 'lauluosuus']","['lied', 'zang', 'liedje', 'een appel en een ei', 'nummer']",['गीत'],song,"['canzone', 'canzonetta', 'canto']"
['eau'],['Wasser'],['вода'],['water'],['水'],['agua'],['水'],['물'],['vesi'],['vesi'],"['water', 'zoetwater', 'majem']","['जल', 'पानी']",water,['acqua']
['sable'],['Sand'],"['песок', 'песо́к']",['sand'],"['沙子', '砂', '沙']",['arena'],['砂'],['모래'],"['liiv', 'Liiv']",['hiekka'],"['zand', 'zavel', 'lef', 'zandstrand']","['बालू', 'रेत']",sand,"['sabbia', 'rena', 'arena']"
"['rivière', 'fleuve']","['Fluß', 'Fluss']",['река'],['river'],"['河', '水流', '河流', '川', '江']","['río', 'ríos']",['川'],['강'],['jõgi'],['joki'],"['rivier', 'stroom']","['नदी', 'दरिया']",river,['fiume']
"['loi', 'droit', 'dossier', 'Archives notariales en France', 'fichier', 'acte']","['Recht', 'Gesetz', 'Urkunde', 'Akte']","['закон', 'право', 'пра́вило', 'пра́во', 'зако́н', 'докуме́нт', 'акт', 'папка']","['law', 'jurisprudence', 'act', 'enactment', 'file unit']","['法律系统', '法律', '案卷单元', '法规', '条款', '法令', '条例']","['derecho', 'ley', 'Derecho', 'jurisprudencia', 'acta', 'hecho']",['法'],['법'],"['õigus', 'seadus', 'akt', 'Akt']","['laki', 'juridiikka', 'pöytäkirja', 'asetus', 'säädös', 'asiakirja']","['wet', 'recht', 'archiefbestanddeel', 'steekkaartsystemen']","['नियम', 'विधि', 'क़ानून']",law,"['diritto', 'legge', 'giurisprudenza', 'legislazione', 'corpo legislativo', 'atto', 'strumento']"
"['vague', 'onde']","['Meereswelle', 'Welle', 'Wasserwelle']","['волна', 'морская волна', 'ветровые волны']","['sea wave', 'ocean surface wave', 'wave', 'moving ridge', 'wind wave']","['海浪', '波濤', '波', '波浪']","['ola', 'ola marina', 'onda']",['波'],['파도'],"['merelaine', 'Veelained', 'veelained']",['aalto'],"['zeegolven', 'vloeistofoppervlaktegolf', 'oppervlaktegolf', 'golf']",['महासागरीय तरंगे'],wave,"['onda marina', 'onda del mare', 'onda', 'flutto']"
"['mer', 'milieu marin', 'océan']","['Meer', 'Meeresumwelt', 'Ozean']","['океан', 'Мировой океан', 'море', 'морская окружающая среда']","['sea', 'body of water', 'bounding main', 'ocean', 'marine environment']","['海', '世界洋', '海洋', '洋', '大洋']","['mar', 'océano mundial', 'océano', 'mares', 'ambiente marino']","['海', '世界の大洋', '大洋', '海洋']","['바다', '대양']","['Maailmameri', 'meri', 'ookean', 'merekeskkond']","['meri', 'valtameri', 'meriympäristö']","['zee', 'mariene milieu', 'oceaan', 'plas', 'wereldzee']","['सागर', 'महासागर']",ocean,"['mare', 'acque', 'ambiente marino', 'oceano']"
"['grotte', 'caverne']",['Höhle'],['пещера'],['cave'],"['洞穴', '洞窟', '石窟', '洞']","['caverna', 'cueva', 'gruta']",['洞窟'],['동굴'],['koobas'],"['luola', 'luolasto']","['hol', 'grot']",['गुफ़ा'],cave,"['caverna', 'grotta', 'antro']"
['mer'],['Meer'],"['море', 'Мировой океан']",['sea'],"['海', '世界洋']","['mar', 'océano mundial', 'océano', 'mares']","['海', '世界の大洋']",['바다'],"['Maailmameri', 'meri']",['meri'],['zee'],['सागर'],sea,"['mare', 'acque']"
['lac'],['See'],['озеро'],['lake'],"['湖', '湖泊']","['lago', 'lagos', 'estanque']",['湖'],['호수'],['järv'],['järvi'],['meer'],['झील'],lake,['lago']
['source'],['Quelle'],"['источник', 'родник', 'ключ', 'студене́ц', 'родни́к', 'исто́чник']","['spring', 'outpouring', 'outflow', 'fountain', 'natural spring']","['源泉', '泉', '泉水', '喷泉']","['manantial', 'fuente', 'vertiente', 'surtidor', 'brollador', 'fuente natural', 'emanación']","['泉', '湧水', '温泉']","['샘터', '샘']","['allikas', 'läte', 'veesilm']","['lähde', 'ulosvirtaus', 'purkaus', 'luonnonlähde']","['bron', 'wel', 'fontein']","['पानी का चश्मा', 'चश्मा']",source,"['sorgente', 'fonte', 'polla', 'scaturigine']"
"['point', 'Point', 'point final']",['Punkt'],"['точка', 'знак препина́ния', 'то́чка']","['period', 'full stop', 'dot', 'point', 'stop', 'full point']","['丶部', '丶', '句号', '句點', '。', '句点', '句號']","['punto', 'punto final']","['ポイント', '終止符', '句点', '点', 'ピリオド', '。']",['마침표'],['punkt'],"['piste', 'Piste']","['punt', 'puntkomma', 'dubbele punt', 'komma', 'oord', 'plaats']","['दंड', 'पूर्ण विराम', '।', 'बिंदु']",point,"['punto', 'punto fermo', 'stop']"
"['ballon', 'balle', 'ballon de football', 'bal']","['Ball', 'Fußball', 'Tanzball']","['мяч', 'футбольный мяч', 'бал']","['ball', 'association football ball', 'formal']","['球', '足球比赛用球', '舞会']","['pelota', 'bola', 'balón', 'pelota de fútbol', 'balón de fútbol', 'baile']","['ボール', 'サッカーボール', '舞踏会']","['공', '축구공', '무도회']","['pall', 'kera', 'ball', 'Ball']","['pallo', 'jalkapallo', 'tanssiaiset', 'Tanssiaiset']","['bal', 'voetbal']",['गेंद'],ball,"['pallone', 'palla', 'pallone da calcio', 'ballo', 'veglione']"
"['peinture', 'artiste peintre', 'peintre', 'image', 'tableau', 'pratique', 'habitude']","['Abbild', 'Maler', 'Darstellung', 'Gemälde', 'Malerei']","['картина', 'образ', 'живопись', 'жи́вопись', 'обы́чай']","['image', 'picture', 'artist', 'painting', 'painter', 'art of painting', 'pattern', 'practice']","['绘画', '畫作', '油漆', '繪畫', '画儿', '图画', '画', '习惯', '習慣', '模式', '惯例']","['pintora', 'imagen', 'pintor', 'pintura', 'pintado', 'lienzo', 'cuadro', 'hábito', 'costumbre', 'práctica']","['絵画', '画像', '画', 'タブロー', '絵画作品', '習慣', 'ならわし', '慣習', '慣行']","['회화', '관습', '습관', '관행']","['maal', 'maalimine', 'maalikunst']","['kuva', 'maalaustaide', 'maalaus', 'käytäntö', 'tapa']","['schilder', 'verven', 'plaatje', 'schilderen', 'kunstschilder', 'afbeelding', 'schilderkunst', 'geschilder', 'schilderij', 'schilderstuk', 'schilderwerk', 'doek', 'praktijk', 'gebruik', 'zich oefenen', 'oefenen', 'stramien', 'patroon', 'uitoefening', 'oefening']",['चित्रकला'],painting,"['pittura', 'pittore', 'raffigurazione', 'immagine', 'dipinto', 'verniciatura', 'quadro', 'abitudine', 'pratica', 'modello', 'schema']"
"['riziculteur', 'riz', 'riz paddy']",['Reis'],['рис'],"['rice farmer', 'rice', 'rice grower', 'Rice gadu']","['稻米', '米', '稻', '稻子']",['arroz'],"['米', '稲']","['쌀', '벼']",['riis'],"['riisi', 'riisikasvi']","['rijst', 'rijstboer', 'Aziatische rijst']","['चावल', 'तंडुल', 'धान', 'भात']",rice,"['riso', 'risicoltore', 'risicultore']"
['rouge'],['Rot'],"['красный', 'красный цвет', 'кра́сный']","['red', 'redness']","['红色', '紅色']","['rojo', 'roja', 'rojez']",['赤'],"['빨강', '빨간색']",['punane'],"['punainen', 'punaisuus']","['rood', 'keel']",['लाल'],red,['rosso']
['courbe'],['Kurve'],"['линия', 'кривая', 'крива́я']","['curved shape', 'curve']","['曲线', '曲線']",['curva'],['曲線'],['곡선'],"['joon', 'kõverjoon']","['käyrä', 'käyrän muotoinen']","['kromme', 'gebogen lijn', 'curve']",['वक्र'],line,['curva']
"['réseau', 'filet', 'réseau informatique', 'maille de tricot', 'maillage', 'tissus']","['Netzwerk', 'Rechnernetz', 'Computernetzwerk', 'Netz', 'Gittergewebe', 'Gitter']","['сетка', 'компьютерная сеть', 'мерёжа', 'мре́жа', 'се́тка', 'сеть']","['net', 'computer network', 'mesh', 'network', 'meshwork', 'meshing', 'knitting stitch']","['電腦網路', '计算机网络', '網', '筛', '网孔', '网', '網孔']","['malla', 'red informática', 'red de computadoras', 'red', 'red de ordenadores', 'rejilla']","['コンピュータ・ネットワーク', '編', '網', 'メッシュ']","['그물', '망']",['võrk'],"['verkko', 'seula']","['gaas', 'computernetwerk', 'netwerk', 'net', 'breisteek', 'vangnet']",['जाल'],net,"['rete', 'rete di calcolatori', 'rete informatica', 'maglia', 'reti']"
"['thé', 'feuille de thé']","['Tee', 'Teeblatt', 'Teeblätter']","['чай', 'ча́йные ли́стья', 'ча́йный лист']","['tea', 'tea leaf']","['茶', '红茶', '茶叶', '茶葉']","['té', 'tisana', 'infusión', 'hoja de té']","['茶', '茶葉', 'お茶っ葉']","['차', '차잎', '찻잎', '다엽']",['tee'],"['tee', 'teelehti', 'teenlehdet', 'teenlehti']","['thee', 'theeblad']",['चाय'],tea,"['tè', 'thè', 'foglia di tè']"
['or'],['Gold'],['золото'],"['gold', 'Au']","['黃金', '黄金', '金', '金子']",['oro'],['金'],['금'],['kuld'],"['kulta', 'Au']",['goud'],['सोना'],gold,['oro']
"['encadrement de porte', 'porte', 'portière', 'huis', 'sonnette']","['Türfutter', 'Türrahmen', 'Tor', 'Türzarge', 'Türen', 'Tür', 'Türe', 'Klingel', 'Türglocke', 'Türklingel', 'Hausglocke']","['дверь', 'две́ри', 'Дверной звонок', 'звоно́к', 'дверно́й звоно́к', 'дверной звонок']","['door case', 'doorcase', 'door', 'door frame', 'doorway', 'doorframe', 'bell', 'buzzer', 'doorbell']","['戶', '門', '门', '门儿', '門兒', '門扉', '门铃', '門鈴', '电铃', '電鈴']","['puerta', 'marco de puerta', 'seguro', 'timbre', 'campanilla de puerta']","['門', 'ドア', '扉', '戸', '戸口', '呼び鈴', 'ドアベル', '電鈴', 'ドアチャイム', 'ベル']","['문', '전령', '초인종', '도어폰', '벨']","['uks', 'uksekell']","['ovi', 'ovikello', 'Ovikello', 'ovisummeri']","['poort', 'portier', 'deur', 'deurbel', 'bel', 'zoemer', 'huisbel', 'klingel', 'schel', 'door Bell', 'ding-dong']","['द्वार', 'दरवाज़ा', 'दर', 'प्रवेश', 'दरवाजा', 'घंटी', 'द्वारघण्टी', 'दर्वाज़ी की घंटी', 'दरवाज़े की घंटी']",door,"['telaio della porta', 'porta', 'portiera', 'uscio', 'sportello', 'campanello']"
"['neige', 'couche de neige', 'chute de neige']","['Schneedecke', 'Schneefall', 'Schnee']","['снег', 'снегопад']","['snow cover', 'snow', 'snowfall', 'snow mantle']","['雪', '下雪', '降雪']","['nevada', 'capa de nieve', 'nieve', 'nevar']","['雪', '降雪', 'ゆき']",['눈'],['lumi'],"['lumi', 'lumisade']","['sneeuw', 'sneeuwlaag', 'sneeuwval', 'sneeuwwit', 'sneeuwen']","['हिम', 'हिमपात', 'बर्फ़']",snow,"['nevicata', 'caduta di neve', 'neve']"
"['cheval', 'equus caballus']","['Gaul', 'Pferd', 'Ross', 'Hauspferd']","['лошадь', 'домашняя лошадь']","['horse', 'Equus caballus']","['馬', '马']","['caballo', 'Equus ferus caballus', 'yegua', 'equinos']","['馬', 'ウマ', 'Equus caballus']",['말'],['hobune'],"['hevonen', 'Equus caballus']","['paard', 'peerd', 'viervoeter', 'ros']",['घोड़ा'],horse,"['cavallo', 'Equus ferus caballus', 'Equus caballus']"
['deux'],"['zwei', 'Zwei']","['два', 'двойка', 'дво́йка', 'две', 'дво́е']","['two', 'deuce', 'II']","['貳', '二', '贰', '两', '兩']",['dos'],"['二', '二つ']","['둘', '이', '두']","['kaks', 'Kaks']","['kakkonen', 'kaksi', 'II']",['twee'],"['द्वि', 'दुई', 'दो']",two,['due']
"['cinq', 'quintette']","['fünf', 'Fünf']",['пять'],"['five', 'fin', 'fivesome', 'quintet', 'cinque', 'quint', 'pentad', 'V', 'Phoebe', 'quintuplet', 'Little Phoebe']",['五'],"['cinco', 'quint', 'cinque']",['五'],"['오', '다섯']","['viis', 'Viis']","['viisi', 'V']","['vijf', 'quintool', 'vijftal']",['पाँच'],five,"['cinque', 'V']"
"['six', 'demi-douzaine', 'sextuor']","['Schwindler', 'sechs', 'halbes Dutzend']","['шесть', 'полдю́жины', 'ше́стеро']","['six', 'half a dozen', 'sextuplet', 'VI', 'Captain Hicks', 'sise', 'sextet', 'hexad', 'sixer', 'sestet']",['六'],"['seis', 'Sexteto de música', 'sixer', 'sexteto', 'sise', 'hexad', 'sestet']","['六', 'シックス', '六つ']","['륙', '여섯', '육']","['kuus', 'Kuus']","['kuusi', 'puoli tusinaa', 'sekstetti', 'kuusikko', 'Captain Hicks', 'VI', 'heksa', 'kuutonen']","['zes', 'sextool']","['छः', 'छह']",six,"['sei', 'sestetto']"
['huit'],"['acht', 'Acht']",['восемь'],"['eight', 'octonary', 'ogdoad', 'VIII', 'octet', 'eighter', 'eighter from Decatur', 'octad']",['八'],"['ocho', 'octad']",['八'],['여덟'],"['kaheksa', 'Kaheksa']","['kahdeksan', 'VIII', 'kahdeksikko']",['acht'],['आठ'],eight,['otto']
"['dix', 'dizaine', 'décennie']","['zehn', 'Zehn']","['десять', 'де́сять', 'де́сятеро']","['ten', 'decade', 'tenner', 'X']","['拾', '十']","['diez', 'decena', 'década']",['十'],"['열', '십']",['kümme'],"['kymmenen', 'kymppi', 'dekadi', 'kybä', 'X', 'kypä']","['tien', 'tientje']","['दस', 'दश', 'दह']",ten,['dieci']
['tête'],"['Haupt', 'Kopf']","['голова', 'глава́', 'башка́', 'голова́']","['head', 'caput']","['脑袋', '头部', '頭子', '頭部', '头子', '頭', '腦袋', '首', '头', '头脑', '頭腦']","['mente', 'cabeza', 'marote', 'melón', 'testa', 'sesera', 'coco', 'sabiola', 'tarro', 'maceta', 'chola', 'punta']","['頭', '頭部']",['머리'],['pea'],"['pää', 'lanttu', 'kallo']","['kop', 'hoofd', 'baas', 'bazin', 'leider', 'op uw plaatsen, klaar, af!']","['सिर', 'सर']",head,"['testa', 'capo', 'capoccia', 'zucca', 'chiorba', 'cranio']"
"['commerce', 'magasin', 'boutique']","['Einzelhandelsgeschäft', 'Geschäft', 'Laden']","['магазин', 'лавка', 'бути́к', 'магази́н', 'ла́вка']","['boutique', 'store', 'retail outlet', 'shop']","['商店', '鋪子', '店', '铺子', '店铺', '店鋪']","['tienda', 'comercio', 'negocio', 'establecimiento', 'almacén']","['商店', '店', '販売店', '売店', '店鋪', 'ストア', 'ショップ']","['가게', '판매점', '상점']","['pood', 'kauplus']","['myymälä', 'kauppa']","['winkel', 'magazijn', 'nering', 'shop', 'atelier', 'zaak', 'werkplaats']","['दुकान', 'दूकान']",shop,"['negozio', 'magazzino', 'esercizio', 'spaccio', 'bottega', 'fondo commerciale', 'locale']"
"['fraction', 'partie', 'section']","['Bruchteil', 'Bruch', 'Bruchrechnung', 'Abschnitt', 'Paragraf', 'Paragraph']","['часть', 'части́ца', 'дробь', 'секция', 'параграф']","['fraction', 'subdivision', 'section']","['分數', '部分', '分数', '乐部']","['fracción', 'quebrado', 'sección', 'apartado', 'parte']","['分数', '断片', '楽節', '節']",['분수'],"['murdarv', 'murdosa', 'segaarv']","['murtoluku', 'murto-osa', 'pykälä', 'osio']","['breuk', 'sectie', 'paragraaf']",['भिन्न'],part,"['frazione', 'sezione', 'articolo']"
"['plaine', 'champ']","['Ebene', 'Acker', 'Feld', 'Anbaufläche', 'Ackergrund', 'landwirtschaftliche Nutzfläche', 'Ackerland', 'Weide', 'Esch', 'Flur', 'Weideland', 'Trade']","['поле', 'равнина', 'равни́на', 'по́ле', 'па́стбище']","['plain', 'champaign', 'field', 'acre']","['平野', '平原', '田', '英畝', '英亩', '田野', '旱田', '野外']","['llanura', 'planicie', 'llano', 'campo', 'campaña', 'llanuras', 'planada', 'plana', 'labrantío', 'sembradío', 'terreno']","['平野', '平地', '畑', '耕地']","['평야', '평지', '밭']","['tasandik', 'põld', 'nurm', 'väli']","['tasanko', 'tasamaa', 'aukea', 'lakeus', 'pelto', 'vainio', 'laidun']","['vlakte', 'laagvlakte', 'vlak', 'veld', 'akkerland', 'land', 'akker', 'landbouwgrond', 'wei', 'weide', 'weiland']","['मैदान', 'क्षेत्र', 'खेत']",field,"['pianura', 'campo', 'campagna']"
"['danse', 'danser']","['Tanz', 'Tanzen']","['танец', 'пляс', 'та́нец', 'пля́ска']","['dance', 'dancing', 'saltation', 'terpsichore']","['舞蹈', '跳舞']","['danza', 'baile']","['ダンス', '踊り', '舞踊']","['춤', '댄스']",['tants'],"['tanssi', 'tanssiminen']","['dans', 'dansen']","['नृत्य', 'नाच']",dance,"['danza', 'ballo', 'ballare', 'danzare']"
['mot'],['Wort'],['слово'],['word'],"['詞', '词', '單詞', '单词', '字词']","['palabra', 'vocablo']","['言葉', '単語', '語']",['낱말'],['sõna'],['sana'],['woord'],"['शब्द', 'बात']",word,"['parola', 'termine', 'suono', 'vocabolo']"
"['paire', 'couple', ""vapeur d'eau"", 'vapeur', 'buée']","['Paar', 'geordnetes Paar', 'Wasserdampf', 'Dampf', 'Nassdampf']","['пара', 'па́ра', 'упорядоченная пара', 'пар', 'водяной пар']","['pair', 'brace', 'ordered pair', 'water vapour', 'water vapor', 'steam']","['雙', '一對', '有序对', '双', '對', '对', '一对', '汽', '蒸汽', '水蒸气', '水蒸氣', '水气', '蒸气', '水汽']","['par', 'par ordenado', 'vapor de agua', 'vapor']","['一組', '順序対', '対', 'ペア', '一対', '蒸気', '湯気', '水蒸気', 'スチーム']","['켤레', '순서쌍', '한쌍', '페어', '증기', '김']","['Järjestatud paar', 'järjestatud paar', 'paar', 'aur']","['järjestetty pari', 'pari', 'höyry', 'vesihöyry']","['koppel', 'tweetal', 'paar', 'duo', 'waterdamp', 'stoom', 'kwalm', 'stomen', 'damp']","['क्रमित युग्म', 'जोड़ा', 'भाप', 'वाष्प']",pair,"['coppia', 'coppia ordinata', 'paio', 'vapore', 'vapore acqueo', 'vapor acqueo', 'fumo']"
