word_original,synset,senses,original_definitions,clozes,clozes_with_start_of_word,definitions_wo_ref
basin,bn:00071766n,"['таз', 'раковина', 'умыва́льник', 'Раковина', 'ра́ковина', 'мо́йка']","['Раковина — чашеобразное приспособление, которое используется для мытья рук или небольших предметов.']","[('___ — чашеобразное приспособление, которое используется для мытья рук или небольших предметов.', ('раковина', 'умыва́льник', 'ра́ковина', 'мо́йка', 'таз')), ('___ — чашеобразное приспособление, которое используется для мытья рук или небольших предметов.', ('Раковина', 'умыва́льник', 'ра́ковина', 'мо́йка', 'таз'))]","[('___ — чашеобразное приспособление, которое используется для мытья рук или небольших предметов.', ('раковина', 'умыва́льник', 'ра́ковина', 'мо́йка', 'таз')), ('___ — чашеобразное приспособление, которое используется для мытья рук или небольших предметов.', ('Раковина', 'умыва́льник', 'ра́ковина', 'мо́йка', 'таз'))]",[]
basket,bn:00008872n,['корзина'],"['Корзи́на — плетёное изделие, служащее вместилищем для хранения вещей, для упаковки или переноски.']",[],[],"['Корзи́на — плетёное изделие, служащее вместилищем для хранения вещей, для упаковки или переноски.']"
bath,bn:00008995n,"['ванная', 'ба́ня', 'ванная комната', 'ва́нная']","['Ванная комната, ванная, Мыльня — помещение, где находится ванна, в квартире или жилом доме, предназначенное для купания или принятия душа.']","[('___, ванная, Мыльня — помещение, где находится ванна, в квартире или жилом доме, предназначенное для купания или принятия душа.', ('ванная комната', 'ва́нная', 'ба́ня')), ('___ комната, ___, Мыльня — помещение, где находится ванна, в квартире или жилом доме, предназначенное для купания или принятия душа.', ('ванная', 'ва́нная', 'ба́ня'))]","[('___, ванная, Мыльня — помещение, где находится ванна, в квартире или жилом доме, предназначенное для купания или принятия душа.', ('ванная комната', 'ва́нная', 'ба́ня')), ('___ комната, ___, Мыльня — помещение, где находится ванна, в квартире или жилом доме, предназначенное для купания или принятия душа.', ('ванная', 'ва́нная', 'ба́ня'))]",[]
bed,bn:00009472n,"['кровать', 'постель', 'ко́йка', 'посте́ль', 'крова́ть']","['Крова́ть (от греч.', 'мебельное изделие используемое человеком для сна']","[('___ (от греч.', ('крова́ть', 'посте́ль', 'кровать', 'постель', 'ко́йка'))]","[('___ (от греч.', ('крова́ть', 'посте́ль', 'кровать', 'постель', 'ко́йка'))]",['мебельное изделие используемое человеком для сна']
bee,bn:00009524n,"['пчела', 'пчела́', 'пчёлы']","['Пчёлы (лат.', 'Насекомые']","[('___ (лат.', ('пчёлы', 'пчела́', 'пчела'))]","[('___ (лат.', ('пчёлы', 'пчела́', 'пчела'))]",['Насекомые']
bell,bn:00009728n,"['Дверной звонок', 'звоно́к', 'дверно́й звоно́к', 'дверной звонок']","['Дверной звонок — устройство, которое находится возле входной двери.']","[('___ — устройство, которое находится возле входной двери.', ('Дверной звонок', 'дверно́й звоно́к', 'звоно́к')), ('___ — устройство, которое находится возле входной двери.', ('дверной звонок', 'дверно́й звоно́к', 'звоно́к'))]","[('___ — устройство, которое находится возле входной двери.', ('Дверной звонок', 'дверно́й звоно́к', 'звоно́к')), ('___ — устройство, которое находится возле входной двери.', ('дверной звонок', 'дверно́й звоно́к', 'звоно́к'))]",[]
berry,bn:00010066n,['ягода'],"['Я́года (лат.', 'Я́года — маленький сочный или мясистый плод, обычно кустарниковых или травянистых растений; в плодоводстве — плод, у которого съедобен весь околоплодник.', 'Пища; используйте Q13184 для ботанической перспективы']",[],[],"['Я́года — маленький сочный или мясистый плод, обычно кустарниковых или травянистых растений; в плодоводстве — плод, у которого съедобен весь околоплодник.', 'Пища; используйте Q13184 для ботанической перспективы', 'Я́года (лат.']"
bird,bn:00010605n,"['птица', 'птицы']","['Пти́цы (лат.', 'перенаправление на Викисловарь']",[],[],"['перенаправление на Викисловарь', 'Пти́цы (лат.']"
blade,bn:00011081n,"['меч', 'шпа́га', 'са́бля']","['Меч — вид холодного оружия с прямым клинком, предназначенный для рубящего и колющего ударов.', 'Холодное оружие с прямым клинком']","[('___ — вид холодного оружия с прямым клинком, предназначенный для рубящего и колющего ударов.', ('меч', 'шпа́га', 'са́бля'))]","[('___ — вид холодного оружия с прямым клинком, предназначенный для рубящего и колющего ударов.', ('меч', 'шпа́га', 'са́бля'))]",['Холодное оружие с прямым клинком']
boat,bn:00011674n,"['ладья́', 'лодка', 'бот', 'ло́дка', 'чёлн', 'шлю́пка']",['Ло́дка — небольшое беспалубное судно.'],"[('___ — небольшое беспалубное судно.', ('ло́дка', 'шлю́пка', 'ладья́', 'лодка', 'чёлн', 'бот'))]","[('___ — небольшое беспалубное судно.', ('ло́дка', 'шлю́пка', 'ладья́', 'лодка', 'чёлн', 'бот'))]",[]
bone,bn:00011999n,['кость'],"['Кость — твёрдый орган позвоночных животных.', 'Твёрдые органы у позвоночных']","[('___ — твёрдый орган позвоночных животных.', ('кость',))]","[('___ — твёрдый орган позвоночных животных.', ('кость',))]",['Твёрдые органы у позвоночных']
book,bn:00012059n,['книга'],"['Кни́га — один из видов печатной продукции: непериодическое издание, состоящее из сброшюрованных или отдельных бумажных листов или тетрадей, на которых нанесена типографским или рукописным способом текстовая и графическая информация, имеющее, как правило, твёрдый переплёт.', 'Носитель информации; вид печатной продукции; объединённые листы с информацией', 'Коллекция листах бумаги связаны друг с другом, чтобы петля на одном краю, содержащие печатные или письменные материалы, фотографии и т.д.']",[],[],"['Кни́га — один из видов печатной продукции: непериодическое издание, состоящее из сброшюрованных или отдельных бумажных листов или тетрадей, на которых нанесена типографским или рукописным способом текстовая и графическая информация, имеющее, как правило, твёрдый переплёт.', 'Коллекция листах бумаги связаны друг с другом, чтобы петля на одном краю, содержащие печатные или письменные материалы, фотографии и т.д.', 'Носитель информации; вид печатной продукции; объединённые листы с информацией']"
boot,bn:00012166n,"['сапоги', 'Сапоги']",['Сапоги́ — вид обуви с высокими голенищами.'],"[('___́ — вид обуви с высокими голенищами.', ('сапоги',)), ('___́ — вид обуви с высокими голенищами.', ('Сапоги',))]","[('___́ — вид обуви с высокими голенищами.', ('сапоги',)), ('___́ — вид обуви с высокими голенищами.', ('Сапоги',))]",[]
bottle,bn:00012339n,"['буты́лка', 'бутылка']","['Буты́лка', 'Контейнер для жидкостей']","[('___', ('буты́лка', 'бутылка'))]","[('___', ('буты́лка', 'бутылка'))]",['Контейнер для жидкостей']
box,bn:00012524n,['коробка'],"['Коробка или ящик — негерметичная ёмкость в форме многогранника, выполненная из картона или другого плотного материала.', 'Вид ёмкости или ящика из плотного материала']","[('___ или ящик — негерметичная ёмкость в форме многогранника, выполненная из картона или другого плотного материала.', ('коробка',))]","[('___ или ящик — негерметичная ёмкость в форме многогранника, выполненная из картона или другого плотного материала.', ('коробка',))]",['Вид ёмкости или ящика из плотного материала']
boy,bn:00012569n,['мальчик'],"['Мальчик — ребёнок мужского пола в возрасте до 13-15 лет включительно.', 'Ребёнок мужского пола']","[('___ — ребёнок мужского пола в возрасте до 13-15 лет включительно.', ('мальчик',))]","[('___ — ребёнок мужского пола в возрасте до 13-15 лет включительно.', ('мальчик',))]",['Ребёнок мужского пола']
brain,bn:00012681n,"['Нус', 'ра́зум', 'психика', 'ум']","['Нус (др.-греч.', 'Ум — это совокупность способностей к мышлению, познанию, пониманию, восприятию, запоминанию, обобщению, оценке и принятию решения кем-либо.', 'Пси́хика (от др.-греч.', 'Субъективный мир человека', 'категория античной философии; обобщение всех смысловых, ра́зумных и мыслительных закономерностей, царящих в космосе и в человеке']","[('___ — это совокупность способностей к мышлению, познанию, пониманию, восприятию, запоминанию, обобщению, оценке и принятию решения кем-либо.', ('ум', 'психика', 'ра́зум', 'Нус')), ('___ (др.-греч.', ('Нус', 'психика', 'ра́зум', 'ум'))]","[('___ — это совокупность способностей к мышлению, познанию, пониманию, восприятию, запоминанию, обобщению, оценке и принятию решения кем-либо.', ('ум', 'психика', 'ра́зум', 'Нус')), ('категория античной философии; обобщение всех смысловых, ___ных и мыслительных закономерностей, царящих в космосе и в человеке', ('ра́зум', 'психика', 'Нус', 'ум')), ('___ (др.-греч.', ('Нус', 'психика', 'ра́зум', 'ум'))]","['Субъективный мир человека', 'Пси́хика (от др.-греч.']"
brake,bn:00012710n,"['механический тормоз', 'Фрикционный тормоз']","['Фрикционный то́рмоз — тормозной механизм транспортного средства, осуществляющий торможение за счет сил трения между его неподвижными и вращающимися деталями.', 'Устройство для замедления или остановки движения и/или вращения механизма машины, транспортного средства']",[],[],"['Фрикционный то́рмоз — тормозной механизм транспортного средства, осуществляющий торможение за счет сил трения между его неподвижными и вращающимися деталями.', 'Устройство для замедления или остановки движения и/или вращения механизма машины, транспортного средства']"
branch,bn:00029676n,"['экономика', 'политическая экономия', 'эконо́мика']","['Полити́ческая эконо́мия, политэконо́мия — одна из общественных наук, предметом исследования которой являются отношения между рынком и государством, индивидом и обществом.', 'Экономика ', 'Наука о производстве, распределении, обмене и потреблении благ']","[('___ ', ('экономика', 'политическая экономия', 'эконо́мика'))]","[('___ ', ('экономика', 'политическая экономия', 'эконо́мика'))]","['Полити́ческая эконо́мия, политэконо́мия — одна из общественных наук, предметом исследования которой являются отношения между рынком и государством, индивидом и обществом.', 'Наука о производстве, распределении, обмене и потреблении благ']"
brick,bn:00013047n,"['кирпич', 'кирпи́ч']","['Кирпич — строительный материал в виде искусственного камня, изготовленного из пластичной минеральной смеси.', 'Строительный материал', 'строительный материал']","[('___ — строительный материал в виде искусственного камня, изготовленного из пластичной минеральной смеси.', ('кирпич', 'кирпи́ч'))]","[('___ — строительный материал в виде искусственного камня, изготовленного из пластичной минеральной смеси.', ('кирпич', 'кирпи́ч'))]","['Строительный материал', 'строительный материал']"
bridge,bn:00013077n,['мост'],"['Мост — дорожное сооружение, возведённое над каким-либо препятствием, например, через водоём, овраг.', 'Искусственное сооружение, возведённое через реку, озеро, пролив или любое другое физическое препятствие']","[('___ — дорожное сооружение, возведённое над каким-либо препятствием, например, через водоём, овраг.', ('мост',))]","[('___ — дорожное сооружение, возведённое над каким-либо препятствием, например, через водоём, овраг.', ('мост',))]","['Искусственное сооружение, возведённое через реку, озеро, пролив или любое другое физическое препятствие']"
brush,bn:00013489n,"['щётка', 'кисть', 'Щётка']","['Щётка — щетинно-щёточное изделие, инструмент, состоящий из собранных воедино тонких длинных прутьев из упругого материала и ручки.']","[('___ — щетинно-щёточное изделие, инструмент, состоящий из собранных воедино тонких длинных прутьев из упругого материала и ручки.', ('щётка', 'кисть')), ('___ — щетинно-щёточное изделие, инструмент, состоящий из собранных воедино тонких длинных прутьев из упругого материала и ручки.', ('Щётка', 'кисть'))]","[('___ — щетинно-щёточное изделие, инструмент, состоящий из собранных воедино тонких длинных прутьев из упругого материала и ручки.', ('щётка', 'кисть')), ('___ — щетинно-щёточное изделие, инструмент, состоящий из собранных воедино тонких длинных прутьев из упругого материала и ручки.', ('Щётка', 'кисть'))]",[]
bucket,bn:00013590n,"['ведёрко', 'ведро', 'ведро́']","['Ведро́ — сосуд для хранения жидких и сыпучих материалов и транспортировки их на небольшие расстояния.', 'Сосуд для жидкости']","[('___́ — сосуд для хранения жидких и сыпучих материалов и транспортировки их на небольшие расстояния.', ('ведро', 'ведёрко', 'ведро́'))]","[('___ — сосуд для хранения жидких и сыпучих материалов и транспортировки их на небольшие расстояния.', ('ведро́', 'ведёрко')), ('___́ — сосуд для хранения жидких и сыпучих материалов и транспортировки их на небольшие расстояния.', ('ведро', 'ведёрко'))]",['Сосуд для жидкости']
bulb,bn:00013745n,"['лампа накаливания', 'лампочка', 'ла́мпа нака́ливания', 'электрическое освещение']","['Ла́мпа нака́ливания — искусственный источник света, в котором свет испускает тело накала, нагреваемое электрическим током до высокой температуры.', 'искусственный источник света, в котором свет испускает тело накала']","[('___ — искусственный источник света, в котором свет испускает тело накала, нагреваемое электрическим током до высокой температуры.', ('ла́мпа нака́ливания', 'электрическое освещение', 'лампа накаливания', 'лампочка'))]","[('___ — искусственный источник света, в котором свет испускает тело накала, нагреваемое электрическим током до высокой температуры.', ('ла́мпа нака́ливания', 'электрическое освещение', 'лампа накаливания', 'лампочка'))]","['искусственный источник света, в котором свет испускает тело накала']"
button,bn:00014305n,['пуговица'],"['Пу́говица — небольшой предмет, выполненный из твердого материала, с отверстиями или ушком для крепления на одежде, обуви и предметах личного обихода.', 'Предмет одежды']",[],[],"['Пу́говица — небольшой предмет, выполненный из твердого материала, с отверстиями или ушком для крепления на одежде, обуви и предметах личного обихода.', 'Предмет одежды']"
cake,bn:00014609n,"['торт', 'пирожное']","['Пиро́жное — кондитерское изделие небольшого размера из сладкого сдобного теста, обычно с кремовой начинкой.', 'Десерт из муки, масла и сахара']",[],[],"['Пиро́жное — кондитерское изделие небольшого размера из сладкого сдобного теста, обычно с кремовой начинкой.', 'Десерт из муки, масла и сахара']"
camera,bn:00015008n,"['съёмочная камера', 'камера', 'фотоаппарат']","['Фотоаппара́т — устройство для регистрации неподвижных изображений.', 'Съёмочная камера, чаще просто камера — обобщающее название всех оптических устройств, предназначенных для записи или передачи изображения, как неподвижного, так и движущегося.', '(неоднозначный термин) аппарат для записи или передачи фотоизображений и видео', 'Оптическое устройство для съёмки и передачи изображений или видео']","[('___, чаще просто камера — обобщающее название всех оптических устройств, предназначенных для записи или передачи изображения, как неподвижного, так и движущегося.', ('съёмочная камера', 'фотоаппарат')), ('Съёмочная ___, чаще просто ___ — обобщающее название всех оптических устройств, предназначенных для записи или передачи изображения, как неподвижного, так и движущегося.', ('камера', 'фотоаппарат'))]","[('___, чаще просто камера — обобщающее название всех оптических устройств, предназначенных для записи или передачи изображения, как неподвижного, так и движущегося.', ('съёмочная камера', 'фотоаппарат')), ('Съёмочная ___, чаще просто ___ — обобщающее название всех оптических устройств, предназначенных для записи или передачи изображения, как неподвижного, так и движущегося.', ('камера', 'фотоаппарат'))]","['(неоднозначный термин) аппарат для записи или передачи фотоизображений и видео', 'Фотоаппара́т — устройство для регистрации неподвижных изображений.', 'Оптическое устройство для съёмки и передачи изображений или видео']"
cart,bn:00016292n,"['повозка', 'теле́жка', 'ручна́я теле́жка']","['Пово́зка, воз — транспортное средство, предназначенное для перемещения по твёрдой поверхности грузов или пассажиров с использованием силы мускулов животных или человека; движущее повозку живое существо располагается вне её.']",[],[],"['Пово́зка, воз — транспортное средство, предназначенное для перемещения по твёрдой поверхности грузов или пассажиров с использованием силы мускулов животных или человека; движущее повозку живое существо располагается вне её.']"
carriage,bn:00016241n,"['железнодорожное транспортное средство', 'карета', 'теле́га', 'каре́та', 'экипа́ж', 'пово́зка']",['Каре́та'],"[('___', ('каре́та', 'железнодорожное транспортное средство', 'пово́зка', 'теле́га', 'экипа́ж', 'карета'))]","[('___', ('каре́та', 'железнодорожное транспортное средство', 'пово́зка', 'теле́га', 'экипа́ж', 'карета'))]",[]
cat,bn:00016606n,"['кошка', 'кот']","['Ко́шка — домашнее животное, одно из наиболее популярных «животных-компаньонов».', 'Домашнее животное']",[],[],"['Ко́шка — домашнее животное, одно из наиболее популярных «животных-компаньонов».', 'Домашнее животное']"
cheese,bn:00018038n,"['сыр', 'творо́г', 'тво́рог']","['Сыр — пищевой продукт в виде твёрдой или полутвёрдой массы, получаемый в процессе сыроделия из заквашиваемого особым способом молока.', 'Пищевой продукт, получаемый из молока']","[('___ — пищевой продукт в виде твёрдой или полутвёрдой массы, получаемый в процессе сыроделия из заквашиваемого особым способом молока.', ('сыр', 'творо́г', 'тво́рог'))]","[('___ — пищевой продукт в виде твёрдой или полутвёрдой массы, получаемый в процессе ___оделия из заквашиваемого особым способом молока.', ('сыр', 'творо́г', 'тво́рог'))]","['Пищевой продукт, получаемый из молока']"
chest,bn:00018208n,"['сундук', 'я́щик', 'Сундук', 'сунду́к']","['Сунду́к — изделие корпусной мебели с откидной или съёмной верхней крышкой, используется как ёмкость для хранения предметов обихода, драгоценностей и других ценных вещей.', 'Статья-список в проекте Викимедиа']","[('___ — изделие корпусной мебели с откидной или съёмной верхней крышкой, используется как ёмкость для хранения предметов обихода, драгоценностей и других ценных вещей.', ('сунду́к', 'сундук', 'Сундук', 'я́щик'))]","[('___ — изделие корпусной мебели с откидной или съёмной верхней крышкой, используется как ёмкость для хранения предметов обихода, драгоценностей и других ценных вещей.', ('сунду́к', 'сундук', 'Сундук', 'я́щик'))]",['Статья-список в проекте Викимедиа']
chin,bn:00018426n,['подбородок'],"['Подборо́док — самая нижняя часть лица, расположенная книзу от нижней губы.']",[],[],"['Подборо́док — самая нижняя часть лица, расположенная книзу от нижней губы.']"
church,bn:00018995n,"['церковь', 'це́рковь', 'костёл', 'христианский храм', 'це́рква', 'ки́рха']","['Це́рковь', 'Архитектурное сооружение для совершения богослужений и религиозных обрядов', 'Здание, где христианская религиозная деятельность осуществляется.']","[('___', ('це́рковь', 'христианский храм', 'церковь', 'це́рква', 'костёл', 'ки́рха'))]","[('___', ('це́рковь', 'христианский храм', 'церковь', 'це́рква', 'костёл', 'ки́рха'))]","['Архитектурное сооружение для совершения богослужений и религиозных обрядов', 'Здание, где христианская религиозная деятельность осуществляется.']"
circle,bn:00019169n,"['окружность', 'окру́жность', 'круг']","['Окру́жность — замкнутая плоская кривая, все точки которой равноудалены от заданной точки, лежащей в той же плоскости, что и кривая: эта точка называется центром окружности.', 'Замкнутая плоская кривая']","[('___ — замкнутая плоская кривая, все точки которой равноудалены от заданной точки, лежащей в той же плоскости, что и кривая: эта точка называется центром окружности.', ('окру́жность', 'окружность', 'круг'))]","[('___ — замкнутая плоская кривая, все точки которой равноудалены от заданной точки, лежащей в той же плоскости, что и кривая: эта точка называется центром окружности.', ('окру́жность', 'окружность', 'круг'))]",['Замкнутая плоская кривая']
clock,bn:00019887n,"['часы', 'часы́']","['Часы́ — прибор для определения текущего времени суток и измерения продолжительности временны́х интервалов в единицах, меньших, чем одни сутки.', 'Прибор для измерения времени']","[('___́ — прибор для определения текущего времени суток и измерения продолжительности временны́х интервалов в единицах, меньших, чем одни сутки.', ('часы', 'часы́'))]","[('___ — прибор для определения текущего времени суток и измерения продолжительности временны́х интервалов в единицах, меньших, чем одни сутки.', ('часы́',)), ('___́ — прибор для определения текущего времени суток и измерения продолжительности временны́х интервалов в единицах, меньших, чем одни сутки.', ('часы',))]",['Прибор для измерения времени']
cloud,bn:00020002n,"['облако', 'облака', 'о́блако', 'ту́ча']","['Облако — взвешенные в атмосфере продукты конденсации водяного пара, видимые на небе невооружённым глазом с поверхности Земли и околоземного космического пространства.', 'Взвешенные в атмосфере продукты конденсации водяного пара']","[('___ — взвешенные в атмосфере продукты конденсации водяного пара, видимые на небе невооружённым глазом с поверхности Земли и околоземного космического пространства.', ('облако', 'о́блако', 'облака', 'ту́ча'))]","[('___ — взвешенные в атмосфере продукты конденсации водяного пара, видимые на небе невооружённым глазом с поверхности Земли и околоземного космического пространства.', ('облако', 'о́блако', 'облака', 'ту́ча'))]",['Взвешенные в атмосфере продукты конденсации водяного пара']
collar,bn:00005136n,"['заключение под стражу', 'задержа́ние', 'аре́ст', 'Арест личности']",['Арест личности '],"[('___ ', ('Арест личности', 'заключение под стражу', 'задержа́ние', 'аре́ст'))]","[('___ ', ('Арест личности', 'заключение под стражу', 'задержа́ние', 'аре́ст'))]",[]
comb,bn:00020849n,['расчёска'],"['Расчёска — индивидуальный предмет быта для расчёсывания волос, массажа головы и нанесения воды на волосы.']","[('___ — индивидуальный предмет быта для расчёсывания волос, массажа головы и нанесения воды на волосы.', ('расчёска',))]","[('___ — индивидуальный предмет быта для расчёсывания волос, массажа головы и нанесения воды на волосы.', ('расчёска',))]",[]
cord,bn:00022592n,"['Корд', 'корд']","['Корд — шерстяная ткань особого переплетения, создающего на её лицевой поверхности продольные рубчики шириной около 3-8 мм.']","[('___ — шерстяная ткань особого переплетения, создающего на её лицевой поверхности продольные рубчики шириной около 3-8 мм.', ('Корд',)), ('___ — шерстяная ткань особого переплетения, создающего на её лицевой поверхности продольные рубчики шириной около 3-8 мм.', ('корд',))]","[('___ — шерстяная ткань особого переплетения, создающего на её лицевой поверхности продольные рубчики шириной около 3-8 мм.', ('Корд',)), ('___ — шерстяная ткань особого переплетения, создающего на её лицевой поверхности продольные рубчики шириной около 3-8 мм.', ('корд',))]",[]
cow,bn:00012273n,"['скот', 'Bos taurus', 'скоти́на', 'бык', 'кру́пный рога́тый скот', 'домашний бык', 'коро́ва']","['Домашний бык — парнокопытное домашнее жвачное животное семейства полорогие.', 'Вид млекопитающих', 'Одомашненный подвид дикого быка']","[('___ — парнокопытное домашнее жвачное животное семейства полорогие.', ('домашний бык', 'кру́пный рога́тый скот', 'Bos taurus', 'скоти́на', 'коро́ва', 'скот')), ('Домашний ___ — парнокопытное домашнее жвачное животное семейства полорогие.', ('бык', 'кру́пный рога́тый скот', 'Bos taurus', 'скоти́на', 'коро́ва', 'скот'))]","[('___ — парнокопытное домашнее жвачное животное семейства полорогие.', ('домашний бык', 'кру́пный рога́тый скот', 'Bos taurus', 'скоти́на', 'коро́ва', 'скот')), ('Домашний ___ — парнокопытное домашнее жвачное животное семейства полорогие.', ('бык', 'кру́пный рога́тый скот', 'Bos taurus', 'скоти́на', 'коро́ва', 'скот')), ('Одомашненный подвид дикого ___а', ('бык', 'кру́пный рога́тый скот', 'домашний бык', 'Bos taurus', 'скоти́на', 'коро́ва', 'скот'))]",['Вид млекопитающих']
