fr,de,ru,en,zh,es,ja,ko,et,fi,nl,hi,word_original,it
"['lune', 'Lune']","['Mond', 'Frau Luna', 'Luna', 'Erdmond']","['Луна', 'месяц']","['Luna', 'Moon', 'moon']","['月球', '月', '月亮']","['Luna', 'luna']",['月'],['달'],['Kuu'],"['Kuu', 'kuu']","['maan', 'Maan']",['चन्द्रमा'],moon,"['luna', 'Luna']"
"['forêt', 'bois', 'brousse', 'Wälder', 'aubier']","['Holz', 'Busch', 'Wald', 'Forst', 'Wälder', 'Splintholz']","['лес', 'дерево', 'оболонь', 'древеси́на', 'древесина', 'лесоматериа́л', 'де́рево']","['forrest', 'forest', 'wood', 'woods', 'Wälder', 'sap-wood', 'sapwood', 'alburnum']","['林木', '树林', '樹林', '森林', '木头', '木', '木材', '木料', '木頭']","['bosque', 'Wälder', 'bosques', 'selva', 'floresta', 'albura', 'sámago', 'madera']","['森林', '森', '木材', '木']","['숲', '삼림', '나무', '목재']","['laas', 'mets', 'Wälder', 'puit', 'puu']","['metsä', 'Wälder', 'puu', 'puumaila', 'pintapuu', 'puuaines']","['bos', 'woud', 'Wälder', 'bosje', 'foreest', 'hout', 'spinthout', 'houtsoort']","['जंगल', 'वन', 'लक्डी', 'लकड़ी', 'काठ', 'काष्ठ']",wood,"['foresta', 'bosco', 'Wälder', 'selva', 'bosco misto', 'legno', 'alburno', 'legname']"
"['hameau', 'village']","['Dorf', 'Ortschaft', 'Weiler', 'Dörfchen']","['село', 'деревня', 'слобода́', 'село́', 'кишла́к', 'ау́л', 'стани́ца', 'селе́ние', 'весца́', 'ху́тор', 'дере́вня', 'вёска', 'весь', 'ве́слина']","['village', 'hamlet']","['村', '乡庄', '鄉村', '村莊', '村落', '农村', '乡村', '屯落', '農村', '村庄', '村子', '鄉莊']","['caserío', 'pueblo', 'aldea', 'aldehuela']","['村', '村落', '田舎']","['마을', '촌락']",['küla'],"['kylä', 'pieni kylä']","['dorp', 'gehucht', 'gat', 'buurt', 'buurtschap', 'vlek']","['गाँव', 'गांव']",village,"['paesello', 'borgo', 'paesino', 'frazione', 'villaggio', 'paese', 'borgata', 'casale', 'vico']"
"['forêt', 'bois', 'brousse', 'Wälder']","['Wald', 'Busch', 'Forst', 'Wälder', 'Holz']",['лес'],"['forrest', 'forest', 'wood', 'woods', 'Wälder']","['林木', '树林', '樹林', '森林']","['bosque', 'Wälder', 'bosques', 'selva', 'floresta']","['森林', '森']","['숲', '삼림']","['laas', 'mets', 'Wälder']","['metsä', 'Wälder', 'puu', 'puumaila']","['bos', 'woud', 'Wälder', 'bosje', 'foreest']","['जंगल', 'वन']",forest,"['foresta', 'bosco', 'Wälder', 'selva', 'bosco misto']"
"['réseau', 'filet', 'réseau informatique', 'maille de tricot', 'maillage', 'tissus']","['Gitter', 'Netzwerk', 'Rechnernetz', 'Computernetzwerk', 'Netz', 'Gittergewebe']","['компьютерная сеть', 'мерёжа', 'Сетка', 'мре́жа', 'се́тка', 'сеть']","['net', 'computer network', 'mesh', 'network', 'meshwork', 'meshing', 'knitting stitch']","['電腦網路', '计算机网络', '網', '筛', '网孔', '网', '網孔']","['malla', 'red informática', 'red de computadoras', 'red', 'red de ordenadores', 'rejilla']","['コンピュータ・ネットワーク', '編', '網', 'メッシュ']","['그물', '망']",['võrk'],"['verkko', 'seula']","['gaas', 'computernetwerk', 'netwerk', 'net', 'breisteek', 'vangnet']",['जाल'],grid,"['rete', 'rete di calcolatori', 'rete informatica', 'maglia', 'reti']"
['chanson'],['Lied'],['песня'],"['song', 'vocal']","['歌', '歌曲']","['canción', 'vocal']","['歌曲', '歌']",['노래'],['laul'],"['laulu', 'sävelmä', 'lauluosuus']","['zang', 'liedje', 'een appel en een ei', 'nummer']",['गीत'],song,"['canzone', 'canzonetta', 'canto']"
"['eau', 'eaux', ""étendue d'eau""]","['Wasser', 'Gewässer']","['вода', 'воды', 'во́дное простра́нство', 'водоём', 'водный объект']","['water', 'body of water', 'waterbody']","['水', '水體', '水体']","['agua', 'cuerpo de agua', 'extensión de agua', 'masa de agua']","['水', '水域']","['물', '수역']","['vesi', 'veekogu']","['vesi', 'vedet', 'vesimuodostuma', 'vesialue']","['water', 'zoetwater', 'majem', 'wateren', 'waterlichaam']","['जल', 'पानी', 'जल निकाय']",water,"['acqua', 'acque', ""corpo d'acqua"", ""bacino d'acqua"", ""massa d'acqua"", ""specchio d'acqua""]"
"['rivière', 'fleuve', 'dynamique des fluides', 'flux']","['Fluss', 'Fluß', 'Hydrodynamik', 'Fluiddynamik']",['река'],"['river', 'flow', 'flowing', 'fluid dynamics']","['河', '水流', '河流', '川', '江']","['río', 'ríos', 'flujo', 'dinámica de fluidos']",['川'],['강'],['jõgi'],"['joki', 'virtaus', 'virtaaminen']","['rivier', 'stroom', 'vloeien']","['नदी', 'दरिया']",river,"['fiume', 'flusso', 'getto']"
"['loi', 'droit']","['Gesetz', 'Recht']","['право', 'пра́вило', 'пра́во', 'зако́н', 'закон']","['law', 'jurisprudence']","['法律系统', '法律']","['derecho', 'ley', 'Derecho', 'jurisprudencia']",['法'],['법'],"['õigus', 'seadus']","['laki', 'juridiikka']","['wet', 'recht']","['नियम', 'विधि', 'क़ानून']",law,"['diritto', 'legge', 'giurisprudenza', 'legislazione', 'corpo legislativo']"
"['vague', 'onde']","['Welle', 'Meereswelle', 'Wasserwelle']","['морская волна', 'ветровые волны']","['sea wave', 'ocean surface wave', 'wave', 'moving ridge', 'wind wave']","['海浪', '波濤', '波', '波浪']","['ola', 'ola marina', 'onda']",['波'],['파도'],"['merelaine', 'Veelained', 'veelained']",['aalto'],"['zeegolven', 'vloeistofoppervlaktegolf', 'oppervlaktegolf', 'golf']",['महासागरीय तरंगे'],wave,"['onda marina', 'onda del mare', 'onda', 'flutto']"
"['milieu marin', 'océan']","['Ozean', 'Meeresumwelt']","['морская окружающая среда', 'океан']","['sea', 'body of water', 'bounding main', 'ocean', 'marine environment']","['海洋', '洋', '大洋']","['océano', 'ambiente marino', 'mar']","['大洋', '海洋']",['대양'],"['ookean', 'merekeskkond']","['valtameri', 'meriympäristö']","['mariene milieu', 'oceaan', 'plas', 'wereldzee']",['महासागर'],ocean,"['ambiente marino', 'oceano']"
"['grotte', 'caverne']",['Höhle'],['пещера'],['cave'],"['洞穴', '洞窟', '石窟', '洞']","['caverna', 'cueva', 'gruta']",['洞窟'],['동굴'],['koobas'],"['luola', 'luolasto']","['hol', 'grot']",['गुफ़ा'],cave,"['caverna', 'grotta', 'antro']"
['mer'],['Meer'],"['Мировой океан', 'море']",['sea'],"['海', '世界洋']","['mar', 'océano mundial', 'océano', 'mares']","['海', '世界の大洋']",['바다'],"['Maailmameri', 'meri']",['meri'],['zee'],['सागर'],sea,"['mare', 'acque']"
['lac'],['See'],['озеро'],['lake'],"['湖', '湖泊']","['lago', 'lagos', 'estanque']",['湖'],['호수'],['järv'],['järvi'],['meer'],['झील'],lake,['lago']
"['source', 'puits', 'origine', 'début', 'racine']","['Quelle', 'Brunnen', 'Brunnenschacht', 'Bohrloch', 'Anfang', 'Ursprung', 'Wurzel', 'Entstehung']","['родник', 'ключ', 'студене́ц', 'родни́к', 'исто́чник', 'скважина', 'сква́жина', 'коло́дец', 'происхожде́ние', 'нача́ло']","['spring', 'outpouring', 'outflow', 'fountain', 'natural spring', 'well', 'beginning', 'root', 'origin', 'source', 'rootage']","['源泉', '泉', '泉水', '喷泉', '井', '水井', '源头', '源頭', '起源', '起始', '本源', '根', '起因', '开始', '根源', '开端']","['manantial', 'fuente', 'vertiente', 'surtidor', 'brollador', 'fuente natural', 'emanación', 'pozo', 'aljibe', 'raíz', 'inicio', 'origen', 'venero', 'nacimiento', 'germen', 'principio']","['泉', '湧水', '温泉', '井戸', '起源', '原初', '原因']","['샘터', '샘', '우물', '기원', '원인']","['allikas', 'läte', 'veesilm', 'kaev']","['lähde', 'ulosvirtaus', 'purkaus', 'luonnonlähde', 'kaivo', 'alku', 'alkuperä', 'juuristo', 'juuri', 'alkulähde']","['bron', 'wel', 'fontein', 'put', 'boorput', 'aanvang', 'oorsprong', 'start', 'begin', 'herkomst', 'wortel', 'origine', 'oerbron', 'kiem']","['पानी का चश्मा', 'चश्मा', 'कूआँ', 'शुरुआत']",source,"['sorgente', 'fonte', 'polla', 'scaturigine', 'pozzo', 'radice', 'origine', 'provenienza']"
"['flamme', 'feu', 'incendie']","['Feuer', 'Flamme', 'Feuergarbe', 'Lohe', 'Feuerzunge', 'Brand']","['огонь', 'пламя', 'по́лы́мя', 'пла́мень', 'пла́мя', 'Пламя', 'пожар']","['flame', 'fire', 'flaming']","['火', '火焰', '焚烧', '燃烧', '火舌', '焰', '火灾', '火災']","['fuego', 'llama', 'flama', 'lumbre', 'incendio']","['炎', '火', '火炎', '火災', '火事']","['불', '화염', '불꽃', '불길', '큰불', '화재']","['põleng', 'leek', 'Tuli', 'tuli', 'Leek']","['tuli', 'liekki', 'palo', 'tulipalo']","['vuur', 'fik', 'vlam', 'laai', 'brand', 'ontbranding']","['अग्नि', 'आग', 'आतिश', 'ज्वाला', 'शोला', 'लौ', 'लपट']",fire,"['fuoco', 'fiamma', 'incendio', 'rogo']"
"['point', 'Point', 'point final', 'Points', 'points', 'nombre de points', 'score', 'entrée']","['Punkt', 'Scorerpunkt', 'Spielergebnis', 'Spielstand', 'Stichwort']","['точка', 'знак препина́ния', 'то́чка', 'очко́', 'счёт', 'результа́т', 'очко', 'очки', 'Очки', 'балл']","['period', 'full stop', 'dot', 'point', 'stop', 'full point', 'score', 'item']","['丶部', '丶', '句号', '句點', '。', '句点', '句號', '得分', '分', '比分']","['punto', 'punto final', 'puntaje', 'puntuación', 'point', 'tantos', 'ítem', 'entrada']","['ポイント', '終止符', '句点', '点', 'ピリオド', '。', '得点', 'スコア']","['마침표', '포인트', '득점']","['skoor, punktiseis']","['piste', 'Piste', 'tehopiste', 'pistemäärä', 'Tehopiste', 'kohta']","['punt', 'puntkomma', 'dubbele punt', 'komma', 'oord', 'plaats', 'stand', 'doelpunt', 'locatie', 'winstpunt', 'tijdpunt', 'plek', 'exemplaar', 'artikel', 'object']","['दंड', 'पूर्ण विराम', '।', 'बिंदु']",point,"['punto', 'punto fermo', 'stop', 'point', 'punteggio', 'voce', 'elemento']"
"['ballon', 'balle', 'ballon de football', 'projectile', 'bal']","['Ball', 'Fußball', 'Kugel', 'Geschoss', 'Flugkörper', 'Projektil', 'Tanzball']","['мяч', 'футбольный мяч', 'пуля', 'пу́ля', 'снаря́д', 'бал']","['association football ball', 'bullet', 'slug', 'Slug', 'formal']","['球', '足球比赛用球', '枪弹', '子弹', '彈丸', '子彈', '枪子儿', '槍子兒', '槍子', '枪子', '舞会']","['pelota', 'bola', 'balón', 'pelota de fútbol', 'balón de fútbol', 'bala', 'proyectil', 'ojiva', 'baile']","['ボール', 'サッカーボール', '弾丸', '銃弾', '弾', '舞踏会']","['공', '축구공', '탄알', '총알', '무도회']","['pall', 'kera', 'Kuul', 'kuul']","['pallo', 'jalkapallo', 'ammus', 'luoti', 'kuula', 'tanssiaiset', 'Tanssiaiset']","['bal', 'voetbal', 'kogel', 'geweerkogel']","['गेंद', 'गोली']",ball,"['pallone', 'palla', 'pallone da calcio', 'pallottola', 'proiettile', 'ballo', 'veglione']"
"['peinture', 'artiste peintre', 'peintre', 'image', 'tableau']","['Gemälde', 'Abbild', 'Maler', 'Darstellung', 'Malerei']","['картина', 'образ', 'живопись', 'жи́вопись']","['image', 'picture', 'artist', 'painting', 'painter', 'art of painting']","['绘画', '畫作', '油漆', '繪畫', '画儿', '图画', '画']","['pintora', 'imagen', 'pintor', 'pintura', 'pintado', 'lienzo', 'cuadro']","['絵画', '画像', '画', 'タブロー', '絵画作品']",['회화'],"['maal', 'maalimine', 'maalikunst']","['kuva', 'maalaustaide', 'maalaus']","['schilder', 'verven', 'plaatje', 'schilderen', 'kunstschilder', 'afbeelding', 'schilderkunst', 'geschilder', 'schilderij', 'schilderstuk', 'schilderwerk', 'doek']",['चित्रकला'],painting,"['pittura', 'pittore', 'raffigurazione', 'immagine', 'dipinto', 'verniciatura', 'quadro']"
"['riziculteur', 'riz', 'riz paddy']",['Reis'],['рис'],"['rice farmer', 'rice', 'rice grower', 'Rice gadu']","['稻米', '米', '稻', '稻子']",['arroz'],"['米', '稲']","['쌀', '벼']",['riis'],"['riisi', 'riisikasvi']","['rijst', 'rijstboer', 'Aziatische rijst']","['चावल', 'तंडुल', 'धान', 'भात']",rice,"['riso', 'risicoltore', 'risicultore']"
['rouge'],['rot'],"['красный', 'красный цвет', 'кра́сный']","['red', 'redness']","['红色', '紅色']","['rojo', 'roja', 'rojez']",['赤'],"['빨강', '빨간색']",['punane'],"['punainen', 'punaisuus']","['rood', 'keel']",['लाल'],red,['rosso']
"['droite', 'ligne droite', 'ligne']","['Linie', 'Gerade']",['прямая'],"['straight line', 'line']","['線', '直线', '线']","['recta', 'línea']",['直線'],['직선'],['sirge'],"['suora', 'muoto']","['rechte lijn', 'lijn', 'touw']",['सरल रेखा'],line,"['linea retta', 'linea', 'retta']"
"['internet', 'réseau informatique', 'réseau', 'Internet', 'cyberespace', 'filet', 'maille de tricot', 'maillage', 'tissus']","['Netz', 'Internet', 'Netzwerk', 'Rechnernetz', 'Computernetzwerk', 'Cyberspace', 'Gittergewebe', 'Gitter']","['Интернет', 'компьютерная сеть', 'киберпространство', 'сеть', 'интерне́т', 'мерёжа', 'Сетка', 'мре́жа', 'се́тка']","['network', 'Internet', 'computer network', 'internet', 'net', 'cyberspace', 'mesh', 'meshwork', 'meshing', 'knitting stitch']","['计算机网络', '電腦網路', '互联网', '互聯網', '信息空间', '因特網', '网际网路', '网路', '網絡', '網際網路', '因特网', '网络', '網路', '赛博空间', '虚拟空间', '网络空间', '網', '筛', '网孔', '网', '網孔']","['red de computadoras', 'red de ordenadores', 'red informática', 'Internet', 'red', 'internet', 'ciberespacio', 'malla', 'rejilla']","['コンピュータ・ネットワーク', 'インターネット', 'ネット', 'サイバースペース', '編', '網', 'メッシュ']","['인터넷', '인터네트', '누리망', '넷', '가상 공간', '그물', '망']","['Internet', 'veeb', 'nett', 'küberruum', 'Kübermaailm', 'võrk', 'internet', 'kübermaailm']","['internet', 'netti', 'Internet', 'kyberavaruus', 'verkko', 'seula']","['netwerk', 'computernetwerk', 'Internet', 'cyberspace', 'internet', 'gaas', 'net', 'breisteek', 'vangnet']","['इन्टरनेट', 'सायबरस्पेस', 'अंतरजाल', 'इंटरनेट', 'अंतर्जाल', 'जाल']",net,"['internet', 'rete informatica', 'rete di calcolatori', 'rete', 'Internet', 'cyberspazio', 'maglia', 'reti']"
['pied'],"['Fuß', 'Pes']",['стопа'],"['human foot', 'foot', 'pes', 'Pes', 'Foot']","['腳', '脚', '脚部', '足']","['pie', 'pes', 'pata']","['ペス', '足']",['발'],['Labajalg'],"['jalkaterä', 'jalka']","['voet', 'voeten', 'poot', 'pootje']",['पैर'],foot,['piede']
"['or', 'ambre']","['Gold', 'Bernsteinfarben']","['золото', 'золотистый', 'Янтарный цвет', 'золотой цвет', 'золото́й', 'янтарный цвет']","['Au', 'amber', 'golden brown']","['黃金', '黄金', '金', '金子', '金色', '橙黃色']","['oro', 'ámbar', 'dorado']","['金', '金色', '橙色', '黄金色', 'こはく色']","['금', '금색', '골드', '호박색', '등색']","['kuld', 'merevaikkollane', 'Merevaikkollane']","['kulta', 'Au', 'kullankeltainen', 'meripihkan värinen']","['goud', 'guld', 'amber']","['सोना', 'जरी', 'सुनहरा', 'सुनहला', 'स्वर्ण', 'सुनहरी']",gold,"['oro', 'ambra']"
"['encadrement de porte', 'porte', 'portière', 'huis']","['Tür', 'Türfutter', 'Türrahmen', 'Tor', 'Türzarge', 'Türen', 'Türe']","['две́ри', 'дверь']","['door case', 'doorcase', 'door', 'door frame', 'doorway', 'doorframe']","['戶', '門', '门', '门儿', '門兒', '門扉']","['puerta', 'marco de puerta', 'seguro']","['門', 'ドア', '扉', '戸', '戸口']",['문'],['uks'],['ovi'],"['poort', 'portier', 'deur']","['द्वार', 'दरवाज़ा', 'दर', 'प्रवेश', 'दरवाजा']",door,"['telaio della porta', 'porta', 'portiera', 'uscio', 'sportello']"
"['neige', 'couche de neige', 'chute de neige']","['Schnee', 'Schneedecke', 'Schneefall']","['снегопад', 'снег']","['snow cover', 'snow', 'snowfall', 'snow mantle']","['雪', '下雪', '降雪']","['nevada', 'capa de nieve', 'nieve', 'nevar']","['雪', '降雪', 'ゆき']",['눈'],['lumi'],"['lumi', 'lumisade']","['sneeuw', 'sneeuwlaag', 'sneeuwval', 'sneeuwwit', 'sneeuwen']","['हिम', 'हिमपात', 'बर्फ़']",snow,"['nevicata', 'caduta di neve', 'neve']"
"['cheval', 'equus caballus']","['Pferd', 'Gaul', 'Ross', 'Hauspferd']","['лошадь', 'домашняя лошадь']","['horse', 'Equus caballus']","['馬', '马']","['caballo', 'Equus ferus caballus', 'yegua', 'equinos']","['馬', 'ウマ', 'Equus caballus']",['말'],['hobune'],"['hevonen', 'Equus caballus']","['paard', 'peerd', 'viervoeter', 'ros']",['घोड़ा'],horse,"['cavallo', 'Equus ferus caballus', 'Equus caballus']"
"['un', 'Un']","['eins', 'ein']","['один', 'одно́', 'раз', 'оди́н', 'одна́', 'едини́ца']","['one', 'ace', 'unity', 'I', 'single', 'Numero Uno']",['一'],"['uno', 'es', 'dos']","['一', '一つ']","['한', '하나', '일']","['üks', 'Üks']","['yksi', 'ykkönen', 'I']","['één', 'een', 'i', 'twee']","['इक', 'एक']",one,['uno']
['deux'],['zwei'],"['двойка', 'дво́йка', 'две', 'два', 'дво́е']","['two', 'deuce', 'II']","['貳', '二', '贰', '两', '兩']",['dos'],"['二', '二つ']","['둘', '이', '두']","['kaks', 'Kaks']","['kakkonen', 'kaksi', 'II']",['twee'],"['द्वि', 'दुई', 'दो']",two,['due']
"['cinq', 'quintette']",['fünf'],['пять'],"['five', 'fin', 'fivesome', 'quintet', 'cinque', 'quint', 'pentad', 'V', 'Phoebe', 'quintuplet', 'Little Phoebe']",['五'],"['cinco', 'quint', 'cinque']",['五'],"['오', '다섯']","['viis', 'Viis']","['viisi', 'V']","['vijf', 'quintool', 'vijftal']",['पाँच'],five,"['cinque', 'V']"
